  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      120   0.6894   1.1874   0.6543  -0.0012   0.6212   0.4342   0.2258   0.0000  54.3623 166.3540       ML
      122   0.6025   0.9423   0.6067  -0.0175   0.0248   0.7377   0.4552   0.0000  51.7678  33.3990       ML
      123   0.7319   1.2105   0.7520  -0.0406   0.1098   1.4109   0.5782   0.0000  71.8812 146.2140       ML
      124   0.6176   0.7887   0.4974  -0.0674   0.5659   0.3085   0.2852   0.0000  13.1078 176.5220       ML
      126   0.7467   1.0363   0.6487  -0.0298   0.0001   2.2719   0.5025   0.0000  62.7448  48.8190       ML
      127   0.6484   0.9891   0.6426  -0.0263   0.4821   0.5130   0.3327   0.0000  45.9487 141.4170       ML
      129   0.6487   0.9150   0.7127  -0.0688   0.4492   0.9028   0.3961   0.0000  48.6617 123.8090       ML
      130   0.6964   0.8286   0.8098  -0.0229   0.6068   0.0205   0.6379   0.0000  60.9588 131.8050       ML
      131   0.6529   0.8201   0.6542   0.0317   0.0002   0.6952   0.3696   0.0000  32.4417  44.9030       ML
      132   0.6740   1.0062   0.7135  -0.0502   0.0006   1.3163   0.4653   0.0000  64.3599  42.9590       ML
      133   0.5475   0.9725   0.3882   0.0193   0.0284   0.0008   0.3328   0.0000  57.7313  45.9260       ML
      135   0.6225   0.8175   0.8031   0.1179   0.4957   0.0000   0.5982   0.0000  73.0935 202.8580       ML
      136   0.6945   0.8795   0.6748  -0.1615   0.6109   1.2299   0.7208   0.0000  76.2535 236.6080       ML
      137   0.6166   1.1756   0.4911  -0.0966   0.1700   0.6345   0.4578   0.0000  93.6875  72.3040       ML
      138   0.4018   0.9188   0.6402   0.0920   0.0008   0.7598   0.2221   0.0000  17.3221  27.5430       ML
      140   0.6532   0.7764   0.5653  -0.0392   0.0003   0.0011   0.2711   0.0000  -0.6134  62.4200       ML
      142   0.7546   0.8597   0.7002  -0.0685   0.0000   0.2988   0.6099   0.0000  64.4408  63.4600       ML
      144   0.5849   1.1619   0.5407  -0.0355   0.3171   0.0001   0.1883   0.0000  74.3067  62.4180       ML
      145   0.7189   0.9333   0.6691  -0.0686   0.5621   0.5446   0.5443   0.0000  65.6229 108.0890       ML
      147   0.5401   0.7728   0.9183   0.0216   0.9197   0.0346   0.6512   0.0000  79.4631 368.2490       ML
      148   0.7300   0.9290   0.7429  -0.0173   0.2185   0.0009   0.4040   0.0000  40.8554  69.0530       ML
      149   0.5453   0.9645   0.6898   0.0672   0.0122   0.0007   0.8357   0.0000 107.4723 105.8860       ML
      150   0.7709   0.8835   0.6398  -0.0758   0.4583   0.0464   0.2499   0.0000 -19.3933  86.2130       ML
      153   0.6357   0.8796   0.7490  -0.0277   0.0057   0.0004   0.6828   0.0000  81.5736 132.2770       ML
      154   0.3248   0.7375   0.7805   0.1171   0.4019   0.0076   0.4790   0.0000  26.3478 121.1630       ML
      155   0.7081   1.2907   0.5005  -0.1608   0.5688   0.7328   0.1540   0.0000  62.9173  49.2370       ML
      156   0.5729   1.0985   0.4649  -0.0487   0.2028   0.6814   0.3091   0.0000  69.5034  50.7600       ML
      157   0.6124   0.8798   0.7536  -0.0590   0.7752   0.2685   0.4811   0.0000  67.0642 174.8100       ML
      158   0.6316   0.6618   0.9503   0.1372   0.0014   0.1052   0.7117   0.0000  62.2436  40.6660       ML
