  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      120   1.1352   0.8931   0.6361   0.1065   0.0006   0.7070   0.2812   0.0000  59.7920  11.3730       ML
      122   0.9568   0.6754   0.5894  -0.0186   0.0000   0.6091   0.4216   0.0000  50.3700  34.8800       ML
      123   0.9122   0.8303   0.8517   0.1928   0.0696   0.2675   0.5443   0.0000  60.0445 186.9700       ML
      124   0.8778   1.0248   0.5281  -0.0027   0.8947   0.5461   0.2819   0.0000  11.7083 110.2410       ML
      126   1.1469   2.5893   0.6667   0.0397   0.0001   5.7515   0.5178   0.0000  63.1061  71.3420       ML
      127   1.0369   0.9285   0.5963  -0.0367   0.0006   1.0201   0.3285   0.0000  48.8668  28.2560       ML
      129   0.9917   1.1977   0.7129  -0.0185   0.0006   2.8562   0.4107   0.0000  49.1494  39.8980       ML
      130   0.8761   1.4017   0.8323   0.0581   0.9998   0.2680   0.6184   0.0000  58.6605 298.4300       ML
      131   0.7043   0.9976   0.6996   0.0506   0.1332   0.7902   0.4793   0.0000  29.6633  55.9500       ML
      132   1.0116   0.5162   0.7037   0.0752   0.1164   0.8251   0.4507   0.0000  61.1281  69.1520       ML
      133   0.9779   0.3149   0.3982   0.0438   0.3787   0.0002   0.3224   0.0000  56.9591 126.5790       ML
      135   0.8134   1.0563   0.8359   0.1742   1.0000   0.2695   0.6040   0.0000  68.8464 204.1310       ML
      136   0.8511   1.5256   0.6969  -0.0760   0.7249   1.7865   0.7169   0.0000  77.6417 332.7930       ML
      137   1.1716   0.3069   0.5008   0.0471   0.0000   0.2707   0.4715   0.0000  89.6956  39.8040       ML
      138   0.8815  -0.5210   0.6692   0.0210   0.4573   0.7535   0.2542   0.0000  17.9100  97.8650       ML
      140   0.8763   1.3025   0.5857   0.0326   0.9997   0.0112   0.2615   0.0000  -2.2757 172.4000       ML
      142   1.0870   3.5894   0.7044   0.0088   0.0001   5.2381   0.6236   0.0000  67.4206  86.0140       ML
      144   1.2086   0.5648   0.5472   0.0241   0.5877   0.0103   0.1458   0.0000  71.3243  82.5070       ML
      145   1.2048   1.1383   0.5602   0.0161   0.7379   0.7326   0.2970   0.0000  67.7988 129.1240       ML
      147   0.2298   1.0036   1.0442   0.0085   0.9999   1.2375   0.8605   0.0000  68.7231 187.5420       ML
      148   0.9721   1.6426   0.7477   0.0598   0.0001   1.9387   0.4329   0.0000  42.1579  51.0620       ML
      149   1.0155   0.4120   0.6839   0.0355   0.0000   0.5189   0.7910   0.0000  98.6485 109.7580       ML
      150   0.8994   1.6901   0.6233   0.0328   0.0002   0.2984   0.2121   0.0000 -18.5988  32.1270       ML
      153   0.9278   0.7501   0.7414   0.0043   0.0030   0.0001   0.5869   0.0000  73.3537  50.2120       ML
      154   0.9367  -0.9413   0.7329   0.0197   0.0002   0.6674   0.3416   0.0000  26.6854  63.4330       ML
      155   1.1460   3.3914   0.6533  -0.0667   0.0005   4.8253   0.4989   0.0000  54.8683  75.8630       ML
      156   1.1039   0.2633   0.4644  -0.0164   0.1523   0.8966   0.3202   0.0000  70.2054  38.0720       ML
      157   0.8475   0.5758   0.7502   0.0083   0.0001   0.0001   0.5130   0.0000  68.8744  58.3550       ML
      158   0.7341   1.0762   0.9410   0.1741   0.6469   0.0074   0.6903   0.0000  65.0989 209.9700       ML
