  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      120   0.6785   1.1647   0.2196   0.6643   0.0007   0.6361   0.1462   0.2423   0.0000  54.6151  92.5740       ML
      122   0.3324   0.9621   1.5507   0.6349   0.1024   0.3050   0.2474   0.4719   0.0000  50.9528 447.6760       ML
      123   0.2843   0.9642   1.9759   0.8667   0.2358   0.0057   0.6087   0.5359   0.0000  56.6823 106.6810       ML
      124   0.4506   0.8204   1.1939   0.5192   0.0030   0.9011   0.2031   0.2693   0.0000  10.3471 165.4520       ML
      126   0.7510   0.8844  -0.4922   0.6644  -0.0056   0.4967   0.2330   0.4963   0.0000  59.8523 125.8420       ML
      127   0.6203   1.0140   0.1963   0.6239  -0.0410   0.5655   0.5493   0.2812   0.0000  45.1956 296.4580       ML
      129   0.7280   0.9167  -0.4458   0.7050  -0.1127   0.0000   0.2927   0.3801   0.0000  45.8842 100.5920       ML
      130   0.4722   0.8728   1.4496   0.8199   0.0669   0.7300   0.0001   0.6063   0.0000  61.8799 409.1350       ML
      131   0.5038   0.8472   0.9165   0.6573   0.0417   0.0000   0.6583   0.3858   0.0000  29.9428  36.9670       ML
      132   0.7575   1.0363  -0.6831   0.7259  -0.1045   0.4838   0.5318   0.4682   0.0000  59.8453  90.5980       ML
      133   0.3696   1.0211   0.8628   0.3892   0.1044   0.2726   0.0004   0.3070   0.0000  56.0315  60.9370       ML
      135   0.3521   0.8716   2.0209   0.8238   0.2274   0.6960   0.5452   0.6068   0.0000  70.0111 164.2730       ML
      136   0.6007   1.0521   0.6346   0.6201  -0.0868   0.7986   1.0273   0.5703   0.0000  77.6190 255.4240       ML
      137   0.5053   1.3354   0.3230   0.3934   0.0413   0.3705   0.6034   0.2551   0.0000 100.4634  29.3680       ML
      138   0.4535   0.8792  -0.2623   0.6490   0.0534   0.1421   0.5179   0.2625   0.0000  21.7910  50.2190       ML
      140   0.3064   0.9110   2.1343   0.5581   0.0948   0.2816   0.0001   0.2495   0.0000  -0.9899  62.8370       ML
      142   0.8330   0.9479  -0.3695   0.6842  -0.0971   0.3339   1.3236   0.6292   0.0000  64.2780 107.2120       ML
      144   0.4790   1.2518   0.6963   0.5604   0.0392   0.6977   0.7653   0.1528   0.0000  71.8595 157.2820       ML
      145   0.6215   1.1035   0.3520   0.5705  -0.0933   0.7569   0.2665   0.3794   0.0000  65.2339 200.9370       ML
      147   0.5998   0.8007  -0.3626   0.8997  -0.0039   0.6226   0.0000   0.6495   0.0000  81.1341 204.9330       ML
      148   0.7252   0.9375   0.0648   0.7422  -0.0158   0.2838   0.2786   0.4000   0.0000  40.8450 117.6030       ML
      149   0.1256   1.4209   2.4923   0.7118   0.3394   0.0764   0.0083   0.7961   0.0000  95.7972  55.6230       ML
      150   0.5907   0.8716   1.5566   0.6640   0.0122   0.7971   0.6681   0.2099   0.0000 -22.5672 149.3350       ML
      153   0.3292   0.9966   1.7409   0.7617   0.1028   0.4532   0.0004   0.6340   0.0000  78.0083 217.8740       ML
      154   0.4070   0.7517  -0.6622   0.7954   0.0840   0.7338   0.4034   0.4448   0.0000  24.0340 308.5330       ML
      155   0.8301   0.9768  -0.6558   0.6365  -0.1795   0.3399   0.4392   0.4815   0.0000  47.6857  75.6460       ML
      156   0.6146   1.0834  -0.2366   0.4628  -0.0668   0.0843   0.0101   0.3089   0.0000  69.3125  57.2390       ML
      157   0.6323   0.9083   0.0084   0.7610  -0.0541   0.7189   0.1473   0.4806   0.0000  66.5073 146.8450       ML
      158   0.5124   1.1983   0.7076   0.7936   0.0963   0.4844   0.2499   0.4433   0.0000  76.0794  59.3310       ML
