  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.9968  -0.5360   0.6804   0.0502   0.0163   0.8569   0.6268   0.0000 146.0445 278.1900       ML
      101   1.1244   1.0022   0.6333   0.0138   0.0006   1.2930   0.3783   0.0000 106.3827  65.7760       ML
      102   1.0755   0.1465   0.2815  -0.0068   0.7247   0.4800   0.1188   0.0000  83.0997 290.5100       ML
      104   1.0869   2.7309   0.5326   0.0904   0.0001   1.1337   0.2886   0.0000 -50.1514  46.4570       ML
      105   1.0366   0.3883   0.6210   0.0463   0.7526   0.0046   0.4277   0.0000 139.7167 364.0080       ML
      106   1.2241   0.1425   0.2804   0.0200   0.0009   0.7458   0.1466   0.0000 140.8440  50.4740       ML
      107   0.9483   0.1697   0.3344  -0.0180   0.7308   0.6755   0.2020   0.0000  56.2271 313.9240       ML
      108   1.0174   0.1404   0.6868   0.0406   0.0381   1.5801   0.6254   0.0000 153.4269 161.8390       ML
      109   1.0475  -0.1022   0.5387  -0.0084   0.1183   0.2146   0.2940   0.0000 122.9961  92.0260       ML
      110   0.8970   0.4931   0.6854   0.0349   0.2963   0.0112   0.4883   0.0000 122.4290 103.1000       ML
      111   0.8798  -0.2172   0.3186  -0.0025   0.8521   1.8043   0.1664   0.0000 -12.7128 269.9680       ML
      112   1.2646   2.1843   0.5795  -0.0181   0.0004   1.8135   0.3486   0.0000  65.0655  60.8070       ML
      113   1.1662   0.0779   0.3219  -0.0244   0.6996   0.5097   0.1030   0.0000 110.6086 133.1280       ML
      114   0.8601   0.6430   0.7816   0.0404   0.0017   1.7598   0.5091   0.0000 107.0172 128.5840       ML
      115   1.2432  -0.0064   0.4382  -0.0121   0.7005   0.4084   0.3312   0.0000 185.8093 157.5190       ML
      116   0.9289   1.4712   0.4123  -0.0267   0.3365   0.4643   0.1205   0.0000 -45.0003  46.6140       ML
      118   0.8784  -0.0132   0.7587   0.0163   0.0000   0.8271   0.6195   0.0000 127.0773 155.2060       ML
      119   0.9639  -0.1063   0.4369  -0.0007   0.0981   0.0018   0.3544   0.0000 108.9006  73.7140       ML
      122   1.0302   2.6573   0.6601   0.0978   0.0006   2.1387   0.4034   0.0000  29.9543  37.6290       ML
      123   0.7992  -1.3819   0.7862  -0.0641   0.5144   0.9513   0.6020   0.0000  96.4035 151.1110       ML
      125   1.3786   2.5242   0.3816  -0.1043   0.0005   0.3982   0.1848   0.0000 -73.0210  39.4480       ML
      126   1.0661  -0.0898   0.3385   0.0310   0.5700   1.8189   0.1782   0.0000  70.9480 166.7890       ML
      127   0.9632   0.1684   0.5216   0.0303   0.4535   1.2700   0.3593   0.0000  95.9808 150.1600       ML
      128   0.8173  -0.4450   0.8322   0.0461   0.0000   1.1376   0.6181   0.0000 115.8390 137.5900       ML
      129   0.8042   1.1974   0.8228   0.0340   0.8496   0.2386   0.6316   0.0000 113.0297 391.3850       ML
      130   1.1126   0.4651   0.5073   0.0096   1.0000   0.4768   0.3511   0.0000 143.4381 198.9290       ML
      131   1.7487   3.6256   0.4552   0.0484   0.6176   0.0003   0.0000   0.0000 -143.4577  16.8580       ML
