  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       00   0.5092   0.5492   1.3931   0.0265   0.5344   0.0155   0.2128   0.6992   0.3010  -0.8914   0.0000 146.7480 245.3250       ML
       01   0.5653   0.6251   1.0729   0.6201   0.6522   0.0244   0.0000   0.8250   0.3508   0.3313   0.0000  96.6907 241.6260       ML
       02   0.4532   0.5072   1.0527   0.2292   0.2784   0.0100   0.6414   0.0137   0.1426   0.2463   0.0000  84.5604 457.5010       ML
       04   0.7366   0.5913   1.0342   2.1130   0.5579   0.0632   0.5268   0.4598   0.2947   1.6673   0.0000 -60.6753 541.1450       ML
       05   0.5235   0.5216   1.1762   0.3854   0.5168   0.0118   0.3794   0.6707   0.2241   0.6445   0.0000 142.2863  73.4290       ML
       06   0.6441   0.5793   1.2071  -0.3993   0.3112  -0.0462   0.4822   0.0039   0.1510  -0.2087   0.0000 137.1780 281.9590       ML
       07   0.4821   0.4558   0.9772   0.6645   0.3336  -0.0052   0.7297   1.1153   0.2034   0.0042   0.0000  53.7525 734.4760       ML
       08   0.5415   0.4495   1.4362  -0.1883   0.4933   0.0587   0.0187   0.8077   0.2252   0.5121   0.0000 178.3197 137.5060       ML
       09   0.4821   0.5327   1.0478  -0.0813   0.5385  -0.0108   0.1074   0.1633   0.2931  -0.1909   0.0000 122.6348 169.3280       ML
       10   0.3508   0.3116   0.9554   1.1164   0.7013   0.1046   0.4219   0.5235   0.4920   1.7872   0.0000 119.7053 464.9830       ML
       11   0.4669   0.5388   0.8266   0.0894   0.3216   0.0043   0.8647   0.9185   0.1624  -0.4540   0.0000 -15.6270 297.1100       ML
       12   0.5151   0.6539   1.2575   2.2952   0.5715   0.0133   0.1361   0.8036   0.2545   0.3139   0.0000  42.4294 113.6870       ML
       13   0.4794   0.5388   1.1088   0.0240   0.3061  -0.0143   0.4319   0.4930   0.0857   0.0489   0.0000 109.8777 145.2140       ML
       14   0.6071   0.6397   0.8490  -0.4589   0.7968   0.0033   0.7206   0.6323   0.5037   0.1026   0.0000 101.8305 351.0660       ML
       15   0.5063   0.5159   1.2436  -0.2247   0.4402  -0.0188   0.7097   0.3624   0.3327   0.1618   0.0000 184.3739 409.6600       ML
       16   0.4318   0.4448   0.9659   2.4905   0.4220  -0.0031   0.5343   0.6957   0.0832   1.3819   0.0000 -56.3340  64.0290       ML
       18   0.4456   0.4930   1.0265   0.2311   0.7022   0.0389   0.0494   0.8562   0.5289  -0.0805   0.0000 128.2838 101.2740       ML
       19   0.5252   0.5683   0.9603  -0.0857   0.4433  -0.0325   0.0825   0.0072   0.3237  -0.6420   0.0000 102.9503 187.7370       ML
       22   0.7108   0.6647   1.0453   3.1397   0.6616   0.0325   0.5755   0.8624   0.3860   0.1919   0.0000  -1.1682 109.9540       ML
       23   0.4491   0.6038   0.8137  -1.5959   0.8031  -0.0754   0.7924   1.1504   0.6054  -2.1928   0.0000  92.1345 518.2740       ML
       25   0.5217   0.5014   1.3684   2.4261   0.3818  -0.1093   0.0360   0.3081   0.1861   2.4761   0.0000 -73.1110  27.5970       ML
       26   0.6596   0.7585   1.3433  -1.9510   0.3528  -0.0498   0.0238   5.1375   0.2578  -0.4923   0.0000  67.5849  68.2580       ML
       27   0.3917   0.6027   0.9817   0.8094   0.5137   0.0304   0.2261   1.4132   0.3665  -0.5054   0.0000  92.4956  68.8650       ML
       28   0.5570   0.5138   0.9365  -1.1515   0.8067  -0.0133   0.0002   1.5507   0.5111  -0.4986   0.0000 117.1150  47.8650       ML
       29   0.4821   0.5408   0.8420   1.2244   0.8233   0.0359   0.9181   0.3421   0.6308   0.8076   0.0000 110.2812 318.5430       ML
       30   0.4726   0.7977   0.9232   0.3902   0.5604  -0.0899   0.4046   0.4861   0.5644  -1.1714   0.0000 145.2857  70.3680       ML
       31   0.5399   0.5201   1.6946   3.7033   0.4663   0.0234   0.7000   0.0003   0.0521   3.5941   0.0000 -143.8687  24.7180       ML
