  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.5068   1.0324  -0.4895   0.6746   0.0497   0.0006   0.9541   0.6147   0.0000 145.7340  67.9770       ML
      101   0.5439   1.0735   0.6931   0.6508   0.0399   0.2961   0.6256   0.3612   0.0000  98.0598 123.1280       ML
      102   0.4692   1.0601   0.2745   0.2664   0.0149   0.5680   0.0037   0.1267   0.0000  85.3757  70.1140       ML
      104   0.6516   1.0119   1.7630   0.5494   0.0564   0.4155   0.0002   0.2919   0.0000 -50.9948 126.0050       ML
      105   0.4168   1.0806   0.7288   0.6095   0.0927   0.6996   0.5237   0.4079   0.0000 138.8647 346.9620       ML
      106   0.6209   1.2072  -0.3285   0.3009  -0.0503   0.3822   0.0011   0.1518   0.0000 138.2502  55.8410       ML
      107   0.4662   0.9565   0.3492   0.3375  -0.0038   0.7669   0.7398   0.2050   0.0000  55.9333 167.8200       ML
      108   0.3499   0.7506   1.1295   0.7808   0.1467   0.6071   0.1034   0.7624   0.0000 154.3494 305.2800       ML
      109   0.4996   1.0475  -0.1006   0.5382  -0.0082   0.0905   0.2145   0.2940   0.0000 122.9960  91.0730       ML
      110   0.3545   0.9304   1.2725   0.7028   0.0969   0.4401   0.0008   0.4951   0.0000 120.7506 252.9610       ML
      111   0.4998   0.8462  -0.2365   0.3126   0.0006   0.7701   1.0485   0.1445   0.0000 -13.6920 202.8920       ML
      112   0.6391   1.1880   1.2987   0.5907  -0.0589   0.2130   1.2680   0.3594   0.0000  63.7723  72.4200       ML
      113   0.5256   1.1542  -0.0498   0.3177  -0.0416   0.6954   0.3519   0.1069   0.0000 115.2671  68.9050       ML
      114   0.7180   0.8847  -0.7281   0.7816  -0.0352   0.5638   0.2130   0.5040   0.0000 103.1800 111.4200       ML
      115   0.5322   1.2568  -0.1297   0.4494  -0.0353   0.7827   0.4545   0.3327   0.0000 185.5878 150.4590       ML
      116   0.4818   0.9341   1.7885   0.4414  -0.0079   0.6581   0.5760   0.1228   0.0000 -49.1142  90.9810       ML
      118   0.5129   0.8838  -0.1002   0.7460  -0.0147   0.1291   0.5695   0.6304   0.0000 133.3431  93.7130       ML
      119   0.5144   0.9655  -0.1670   0.4365  -0.0064   0.1044   0.0002   0.3541   0.0000 108.8859  80.7390       ML
      122   0.7405   0.9580   0.6938   0.6649   0.0246   0.5189   0.5746   0.4006   0.0000  25.3453  61.6430       ML
      123   0.6001   0.8055  -1.8006   0.7902  -0.1103   0.3396   0.0277   0.5950   0.0000  92.9249 205.9740       ML
      125   0.5140   1.3633   2.4410   0.3834  -0.1091   0.0327   0.2983   0.1876   0.0000 -73.0312  48.9610       ML
      126   0.5314   1.0372  -0.2940   0.3190   0.0222   0.4396   0.8099   0.1346   0.0000  71.7865  31.2960       ML
      127   0.6016   1.0843  -0.2658   0.4917  -0.0332   0.0000   1.8629   0.3165   0.0000  92.6770  82.2250       ML
      128   0.5866   0.7821  -0.8775   0.8438  -0.0409   0.0393   0.0006   0.6262   0.0000 118.0840 160.6030       ML
      129   0.3226   0.8619   1.9256   0.7961   0.1058   0.2588   0.3806   0.5981   0.0000 111.6395  92.5790       ML
      130   0.4836   1.1186   0.4826   0.5063  -0.0044   0.9671   0.0061   0.3590   0.0000 146.8406 160.4620       ML
      131   0.4829   1.7495   3.6889   0.4560   0.0568   0.6161   0.0005   0.0001   0.0000 -143.5765  12.3910       ML
