  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.4178   0.9984   0.6761   0.0409   0.0000   0.6350   0.6585   0.0000 155.0398 120.7130       ML
      101   0.6957   1.0685   0.6483  -0.0646   0.0000   0.5373   0.3752   0.0000 100.7956  97.8270       ML
      102   0.5132   1.0770   0.2697  -0.0062   0.6167   0.6472   0.1307   0.0000  86.0232 143.7750       ML
      104   0.8633   1.1272   0.5106  -0.1063   0.2034   0.2500   0.3485   0.0000 -42.0532  46.4700       ML
      105   0.5542   0.9985   0.6063  -0.0033   0.4703   0.0006   0.4180   0.0000 137.2723 397.2590       ML
      106   0.5616   1.2296   0.2809  -0.0159   0.1646   0.6784   0.1315   0.0000 139.3745  67.0690       ML
      107   0.5141   0.9491   0.3321  -0.0230   0.7007   0.7602   0.2020   0.0000  56.6124 446.6830       ML
      108   0.5093   0.7836   0.7521   0.0843   0.1025   0.4817   0.7619   0.0000 157.3300  66.4010       ML
      109   0.4787   1.0503   0.5379   0.0016   0.1125   0.2832   0.2935   0.0000 123.0609  63.3450       ML
      110   0.5817   0.8591   0.6958   0.0016   0.0306   0.0000   0.5347   0.0000 124.4973 121.3540       ML
      111   0.4860   0.8016   0.3206   0.0017   0.7920   0.0008   0.1755   0.0000 -12.4993 173.8370       ML
      112   0.7751   1.0985   0.6161  -0.0932   0.2053   0.0007   0.3944   0.0000  63.7613  87.3430       ML
      113   0.5212   1.1585   0.3163  -0.0292   0.6649   0.4885   0.0870   0.0000 110.2457  98.7250       ML
      114   0.6031   0.8301   0.7953   0.0115   0.5613   0.7512   0.5045   0.0000 106.0985 431.7280       ML
      115   0.5091   1.2488   0.4446  -0.0188   0.7432   0.4590   0.3330   0.0000 185.7681 449.3010       ML
      116   0.7453   0.8713   0.4356  -0.1108   0.0000   0.0001   0.2139   0.0000 -39.9794  67.4780       ML
      118   0.4944   0.8848   0.7457  -0.0104   0.1324   0.5845   0.6298   0.0000 133.3713 137.7620       ML
      119   0.4795   0.9626   0.4368   0.0075   0.0192   0.0483   0.3554   0.0000 108.9868 112.9760       ML
      122   0.8189   0.9812   0.6574  -0.0199   0.2692   0.0966   0.3945   0.0000  27.0155  80.7040       ML
      123   0.2680   0.9025   0.7238   0.1046   0.0000   0.6613   0.6010   0.0000  99.7544  53.9540       ML
      125   0.8949   1.1344   0.4863  -0.2294   0.0711   0.0038   0.4317   0.0000 -41.4694  52.6330       ML
      126   0.4900   1.0394   0.3345   0.0357   0.5294   1.2729   0.1750   0.0000  71.4324 131.4190       ML
      127   0.5182   0.9231   0.5114   0.0231   0.1755   0.4725   0.3582   0.0000  96.2552  73.9700       ML
      128   0.4264   0.8865   0.8025   0.0245   0.0003   0.5595   0.5371   0.0000 114.2847  64.0410       ML
      129   0.6441   0.7655   0.8144  -0.0338   0.6965   0.2516   0.6404   0.0000 111.2975 124.0290       ML
      130   0.5674   1.1168   0.4876  -0.0298   0.8652   0.0013   0.3513   0.0000 148.9450 504.0070       ML
      131   0.9077   0.9338   0.5978  -0.0600   0.0138   0.0873   0.3604   0.0000 -107.9106  46.8710       ML
