subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_124	 2	 4	 BambaSweet.bmp	 3.777224e+02	 24	 999000	 240	 999000	 999	 3.787401e+02	 783.33	 716.67	 55.00	 43	 0.22	 
BOA_124	 2	 4	 Kitkat.bmp	 3.827113e+02	 12	 999000	 120	 999000	 999	 3.837291e+02	 783.33	 716.67	 22.00	 12	 2.38	 
BOA_124	 2	 4	 KashitSour.bmp	 3.847135e+02	 11	 1.025164e+03	 1100	 7.834021e+02	 98	 3.857488e+02	 733.33	 716.67	 16.00	 14	 2.71	 
BOA_124	 2	 4	 Snickers.bmp	 3.867158e+02	 12	 999000	 120	 999000	 999	 3.877336e+02	 733.33	 716.67	 20.00	 16	 2.60	 
BOA_124	 2	 4	 BambaNugat.bmp	 3.927226e+02	 24	 999000	 240	 999000	 999	 3.937403e+02	 733.33	 716.67	 47.00	 56	 0.56	 
BOA_124	 2	 4	 ClickXLbrown4.bmp	 3.947083e+02	 12	 999000	 120	 999000	 999	 3.957258e+02	 733.33	 716.67	 5.00	 20	 3.89	 
BOA_124	 2	 4	 Halva2.bmp	 3.977114e+02	 24	 999000	 240	 999000	 999	 3.987292e+02	 733.33	 716.67	 57.00	 26	 0.18	 
BOA_124	 2	 4	 Tictac.bmp	 3.997136e+02	 22	 9.688905e+02	 220	 7.167250e+02	 98	 4.007486e+02	 733.33	 733.33	 46.00	 51	 0.56	 
BOA_124	 2	 4	 Mekupelet.bmp	 4.037181e+02	 22	 9.643951e+02	 220	 7.333786e+02	 98	 4.047534e+02	 733.33	 750.00	 49.00	 47	 0.49	 
BOA_124	 2	 4	 Shugi.bmp	 4.057204e+02	 24	 999000	 240	 999000	 999	 4.067382e+02	 733.33	 750.00	 50.00	 36	 0.47	 
BOA_124	 2	 4	 ClickXLwhite4.bmp	 4.107093e+02	 12	 999000	 120	 999000	 999	 4.117271e+02	 733.33	 750.00	 12.00	 8	 3.29	 
BOA_124	 2	 4	 Mars.bmp	 4.177172e+02	 12	 999000	 120	 999000	 999	 4.187349e+02	 733.33	 750.00	 15.00	 10	 2.73	 
BOA_124	 2	 4	 SkittlesFruits2.bmp	 4.197194e+02	 24	 999000	 240	 999000	 999	 4.207373e+02	 733.33	 750.00	 56.00	 29	 0.20	 
BOA_124	 2	 4	 TapuchipsCrunch.bmp	 4.227057e+02	 12	 999000	 120	 999000	 999	 4.237240e+02	 733.33	 750.00	 21.00	 13	 2.49	 
BOA_124	 2	 4	 Twix.bmp	 4.257094e+02	 11	 9.650689e+02	 110	 7.333876e+02	 98	 4.267459e+02	 750.00	 750.00	 14.00	 27	 2.96	 
BOA_124	 2	 4	 DoritosNatural.bmp	 4.297140e+02	 24	 999000	 240	 999000	 999	 4.307318e+02	 750.00	 750.00	 42.00	 32	 0.64	 
BOA_124	 2	 4	 KinderJoy.bmp	 4.337185e+02	 11	 9.480415e+02	 110	 7.500482e+02	 98	 4.347531e+02	 766.67	 750.00	 17.00	 52	 2.71	 
BOA_124	 2	 4	 CrunchBisquitWhite2.bmp	 4.377060e+02	 12	 999000	 120	 999000	 999	 4.387240e+02	 766.67	 750.00	 3.00	 55	 4.29	 
