subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	Audiotime	response	fixationtime	ladder1	ladder2
BOA_102	 1	 Cheezits.bmp	 1.162726e+00	 24	 999000	 240	 999000	 999	 2.18	 750	 750	 
BOA_102	 1	 Granolabar.bmp	 4.149006e+00	 24	 999000	 240	 999000	 999	 5.17	 750	 750	 
BOA_102	 1	 Hersheykisses.bmp	 6.151316e+00	 12	 999000	 120	 999000	 999	 7.17	 750	 750	 
BOA_102	 1	 Laffytaffyred_one.bmp	 8.153476e+00	 22	 1.060055e+03	 2200	 7.508739e+02	 98	 9.17	 750	 700	 
BOA_102	 1	 Lindt_small.bmp	 1.013881e+01	 12	 999000	 120	 999000	 999	 11.16	 750	 700	 
BOA_102	 1	 Lollipopred.bmp	 1.314238e+01	 24	 999000	 240	 999000	 999	 14.16	 750	 700	 
BOA_102	 1	 Milano.bmp	 1.514471e+01	 24	 999000	 240	 999000	 999	 16.16	 750	 700	 
BOA_102	 1	 RitzBitz2.bmp	 1.914915e+01	 11	 1.024386e+03	 1100	 7.515593e+02	 98	 20.17	 700	 700	 
subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	Audiotime	response	fixationtime	ladder1	ladder2
BOA_102	 1	 Cheezits.bmp	 1.058140e+00	 24	 999000	 240	 999000	 999	 2.08	 750	 750	 
BOA_102	 1	 Granolabar.bmp	 3.060250e+00	 24	 999000	 240	 999000	 999	 4.08	 750	 750	 
BOA_102	 1	 Hersheykisses.bmp	 7.047859e+00	 12	 999000	 120	 999000	 999	 8.07	 750	 750	 
BOA_102	 1	 Laffytaffyred_one.bmp	 1.005150e+01	 22	 1.010210e+03	 2200	 7.500735e+02	 98	 11.07	 750	 700	 
BOA_102	 1	 Lindt_small.bmp	 1.205375e+01	 12	 999000	 120	 999000	 999	 13.07	 750	 700	 
BOA_102	 1	 Lollipopred.bmp	 1.505713e+01	 24	 999000	 240	 999000	 999	 16.07	 750	 700	 
BOA_102	 1	 Milano.bmp	 1.906156e+01	 24	 999000	 240	 999000	 999	 20.08	 750	 700	 
BOA_102	 1	 RitzBitz2.bmp	 2.304941e+01	 11	 9.322728e+02	 110	 7.500615e+02	 98	 24.07	 7.666667e+02	 700	 
