subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_100	 2	 14	 BagaleShtuhim.bmp	 1.834311e+03	 12	 999000	 120	 999000	 999	 1.835329e+03	 650.00	 650.00	 7.00	 38	 8.16	 
BOA_100	 2	 14	 GumiSnakes3.bmp	 1.837298e+03	 12	 999000	 120	 999000	 999	 1.838316e+03	 650.00	 650.00	 21.00	 35	 7.73	 
BOA_100	 2	 14	 Snickers.bmp	 1.841303e+03	 12	 999000	 120	 999000	 999	 1.842320e+03	 650.00	 650.00	 4.00	 53	 8.24	 
BOA_100	 2	 14	 SkittlesSour4.bmp	 1.843305e+03	 24	 999000	 240	 999000	 999	 1.844323e+03	 650.00	 650.00	 50.00	 24	 2.96	 
BOA_100	 2	 14	 ClickBalls5.bmp	 1.845307e+03	 24	 999000	 240	 999000	 999	 1.846325e+03	 650.00	 650.00	 40.00	 18	 5.04	 
BOA_100	 2	 14	 DoritosNatural.bmp	 1.849295e+03	 22	 1.107509e+03	 2200	 6.500675e+02	 98	 1.850330e+03	 650.00	 600.00	 43.00	 9	 3.93	 
BOA_100	 2	 14	 Kitkat.bmp	 1.851297e+03	 22	 1.009402e+03	 2200	 6.000545e+02	 98	 1.852332e+03	 650.00	 550.00	 51.00	 16	 2.51	 
BOA_100	 2	 14	 Smarties.bmp	 1.856303e+03	 12	 999000	 120	 999000	 999	 1.857321e+03	 650.00	 550.00	 3.00	 14	 8.33	 
BOA_100	 2	 14	 Mars.bmp	 1.858305e+03	 24	 999000	 240	 999000	 999	 1.859323e+03	 650.00	 550.00	 57.00	 13	 1.73	 
BOA_100	 2	 14	 ClickXLwhite4.bmp	 1.861308e+03	 12	 999000	 120	 999000	 999	 1.862326e+03	 650.00	 550.00	 22.00	 3	 7.51	 
BOA_100	 2	 14	 Egozi.bmp	 1.864295e+03	 11	 9.153921e+02	 110	 6.500631e+02	 98	 1.865330e+03	 666.67	 550.00	 9.00	 39	 8.11	 
BOA_100	 2	 14	 Cheetos.bmp	 1.868299e+03	 12	 999000	 120	 999000	 999	 1.869317e+03	 666.67	 550.00	 12.00	 36	 8.02	 
BOA_100	 2	 14	 CrunchShokoVanil.bmp	 1.871303e+03	 24	 999000	 240	 999000	 999	 1.872321e+03	 666.67	 550.00	 39.00	 44	 5.31	 
BOA_100	 2	 14	 ClickBlackWhite3.bmp	 1.873305e+03	 12	 999000	 120	 999000	 999	 1.874323e+03	 666.67	 550.00	 13.00	 30	 7.98	 
