subjectID	order	runNum	itemName	onsetTime	shuff_trialType	RT	respInTime	AudioTime	response	fixationTime	ladder1	ladder2	bidIndex	BDMtrialIndex	bidValue
BOA_108	 2	 7	 ChocolateParaCookies5.bmp	 8.149876e+02	 12	 999000	 120	 999000	 999	 8.160052e+02	 -33.33	 -16.67	 22.00	 54	 0.80	 
BOA_108	 2	 7	 HispusimShatiah.bmp	 8.199765e+02	 24	 999000	 240	 999000	 999	 8.209943e+02	 -33.33	 -16.67	 52.00	 17	 0.09	 
BOA_108	 2	 7	 KinderBuenoBrown3.bmp	 8.219787e+02	 12	 999000	 120	 999000	 999	 8.229965e+02	 -33.33	 -16.67	 10.00	 39	 3.71	 
BOA_108	 2	 7	 Apropo.bmp	 8.239810e+02	 11	 5.253597e+02	 110	 2.146570e-01	 98	 8.250160e+02	 -16.67	 -16.67	 17.00	 42	 2.67	 
BOA_108	 2	 7	 ChocolateParaMilk3.bmp	 8.299710e+02	 12	 999000	 120	 999000	 999	 8.309888e+02	 -16.67	 -16.67	 20.00	 56	 1.44	 
BOA_108	 2	 7	 Egozi.bmp	 8.319733e+02	 22	 2.530327e+02	 220	 2.134060e-01	 98	 8.330082e+02	 -16.67	 -0.00	 54.00	 41	 0.09	 
BOA_108	 2	 7	 TapuchipsCrunch.bmp	 8.349765e+02	 22	 4.817861e+02	 220	 1.955470e-01	 98	 8.360129e+02	 -16.67	 16.67	 43.00	 46	 0.16	 
BOA_108	 2	 7	 PesekZman.bmp	 8.369789e+02	 12	 999000	 120	 999000	 999	 8.379966e+02	 -16.67	 16.67	 6.00	 20	 3.78	 
BOA_108	 2	 7	 Kitkat.bmp	 8.409833e+02	 12	 999000	 120	 999000	 999	 8.420011e+02	 -16.67	 16.67	 5.00	 11	 3.78	 
BOA_108	 2	 7	 ChocolateParaMarir2.bmp	 8.429689e+02	 24	 999000	 240	 999000	 999	 8.439868e+02	 -16.67	 16.67	 56.00	 4	 0.07	 
BOA_108	 2	 7	 BabyDoll.bmp	 8.479745e+02	 24	 999000	 240	 999000	 999	 8.489923e+02	 -16.67	 16.67	 47.00	 34	 0.11	 
BOA_108	 2	 7	 ClickBlackWhite3.bmp	 8.549824e+02	 24	 999000	 240	 999000	 999	 8.560002e+02	 -16.67	 16.67	 45.00	 19	 0.13	 
BOA_108	 2	 7	 Halva2.bmp	 8.569676e+02	 24	 999000	 240	 999000	 999	 8.579857e+02	 -16.67	 16.67	 55.00	 47	 0.09	 
BOA_108	 2	 7	 Smarties.bmp	 8.599713e+02	 24	 999000	 240	 999000	 999	 8.609891e+02	 -16.67	 16.67	 41.00	 40	 0.18	 
BOA_108	 2	 7	 BisliGrill.bmp	 8.629747e+02	 22	 3.396782e+02	 220	 1.671469e+01	 98	 8.640091e+02	 -16.67	 33.33	 51.00	 9	 0.09	 
BOA_108	 2	 7	 CrunchShokoVanil.bmp	 8.669792e+02	 24	 999000	 240	 999000	 999	 8.679969e+02	 -16.67	 33.33	 50.00	 50	 0.11	 
BOA_108	 2	 7	 ClickBalls5.bmp	 8.709836e+02	 22	 3.626890e+02	 220	 3.338551e+01	 98	 8.720192e+02	 -16.67	 50.00	 49.00	 45	 0.11	 
BOA_108	 2	 7	 Tictac.bmp	 8.749715e+02	 12	 999000	 120	 999000	 999	 8.759893e+02	 -16.67	 50.00	 13.00	 33	 2.71	 
BOA_108	 2	 7	 DoritosNatural.bmp	 8.779748e+02	 22	 3.795763e+02	 220	 5.004512e+01	 98	 8.790092e+02	 -16.67	 66.67	 46.00	 44	 0.13	 
BOA_108	 2	 7	 Dubonim.bmp	 8.839815e+02	 24	 999000	 240	 999000	 999	 8.849994e+02	 -16.67	 66.67	 42.00	 13	 0.16	 
BOA_108	 2	 7	 Taami.bmp	 8.859838e+02	 24	 999000	 240	 999000	 999	 8.870015e+02	 -16.67	 66.67	 53.00	 37	 0.09	 
BOA_108	 2	 7	 CrunchBisquitWhite2.bmp	 8.889705e+02	 12	 999000	 120	 999000	 999	 8.899883e+02	 -16.67	 66.67	 19.00	 55	 1.62	 
BOA_108	 2	 7	 Bamba.bmp	 8.909727e+02	 24	 999000	 240	 999000	 999	 8.919905e+02	 -16.67	 66.67	 57.00	 5	 0.07	 
BOA_108	 2	 7	 BisliOnion.bmp	 8.929749e+02	 11	 2.434555e+02	 110	 1.927430e-01	 98	 8.940116e+02	 -0.00	 66.67	 9.00	 48	 3.73	 
BOA_108	 2	 7	 Loacker.bmp	 8.949772e+02	 12	 999000	 120	 999000	 999	 8.959950e+02	 -0.00	 66.67	 12.00	 57	 2.73	 
