subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_132	 1	 1463.jpg	 1.148372e+00	 24	 999000	 240	 999000	 999	 2.16	 750	 750
p_132	 1	 2075.jpg	 3.130984e+00	 24	 999000	 240	 999000	 999	 4.15	 750	 750
p_132	 1	 4625.jpg	 7.130873e+00	 12	 999000	 120	 999000	 999	 8.15	 750	 750
p_132	 1	 5270.jpg	 1.013075e+01	 22	 999000	 2	 7.665751e+02	 999	 11.15	 750	 700
p_132	 1	 5700.jpg	 1.213065e+01	 12	 999000	 120	 999000	 999	 13.15	 750	 700
p_132	 1	 7330.jpg	 1.513057e+01	 24	 999000	 240	 999000	 999	 16.15	 750	 700
p_132	 1	 8120.jpg	 1.913044e+01	 24	 999000	 240	 999000	 999	 20.15	 750	 700
p_132	 1	 8503.jpg	 2.313029e+01	 11	 999000	 1	 7.665618e+02	 999	 24.15	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_132	 1	 1463.jpg	 1.130498e+00	 24	 999000	 240	 999000	 999	 2.15	 750	 750
p_132	 1	 2075.jpg	 3.130687e+00	 24	 999000	 240	 999000	 999	 4.15	 750	 750
p_132	 1	 4625.jpg	 7.130353e+00	 12	 999000	 120	 999000	 999	 8.15	 750	 750
p_132	 1	 5270.jpg	 1.013019e+01	 22	 1.276233e+03	 2200	 7.666073e+02	 98	 11.15	 750	 700
p_132	 1	 5700.jpg	 1.213013e+01	 12	 999000	 120	 999000	 999	 13.15	 750	 700
p_132	 1	 7330.jpg	 1.513006e+01	 24	 999000	 240	 999000	 999	 16.15	 750	 700
p_132	 1	 8120.jpg	 1.912991e+01	 24	 999000	 240	 999000	 999	 20.15	 750	 700
p_132	 1	 8503.jpg	 2.312977e+01	 11	 1.028484e+03	 1100	 7.665484e+02	 98	 24.15	 700	 700
