subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_141	 1	 1463.jpg	 1.151885e+00	 24	 999000	 240	 999000	 999	 2.17	 750	 750
p_141	 1	 2075.jpg	 4.134530e+00	 24	 999000	 240	 999000	 999	 5.15	 750	 750
p_141	 1	 4625.jpg	 6.134461e+00	 12	 999000	 120	 999000	 999	 7.15	 750	 750
p_141	 1	 5270.jpg	 8.134427e+00	 22	 999000	 2	 7.665384e+02	 999	 9.15	 750	 700
p_141	 1	 5700.jpg	 1.013432e+01	 12	 999000	 120	 999000	 999	 11.15	 750	 700
p_141	 1	 7330.jpg	 1.313424e+01	 24	 999000	 240	 999000	 999	 14.15	 750	 700
p_141	 1	 8120.jpg	 1.513416e+01	 24	 999000	 240	 999000	 999	 16.15	 750	 700
p_141	 1	 8503.jpg	 1.913404e+01	 11	 999000	 1	 7.665617e+02	 999	 20.15	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_141	 1	 1463.jpg	 1.131978e+00	 24	 999000	 240	 999000	 999	 2.15	 750	 750
p_141	 1	 2075.jpg	 4.131970e+00	 24	 999000	 240	 999000	 999	 5.15	 750	 750
p_141	 1	 4625.jpg	 6.131895e+00	 12	 999000	 120	 999000	 999	 7.15	 750	 750
p_141	 1	 5270.jpg	 8.131835e+00	 22	 1.210606e+03	 2200	 7.665610e+02	 98	 9.15	 750	 700
p_141	 1	 5700.jpg	 1.013177e+01	 12	 999000	 120	 999000	 999	 11.15	 750	 700
p_141	 1	 7330.jpg	 1.313167e+01	 24	 999000	 240	 999000	 999	 14.15	 750	 700
p_141	 1	 8120.jpg	 1.513160e+01	 24	 999000	 240	 999000	 999	 16.15	 750	 700
p_141	 1	 8503.jpg	 1.913149e+01	 11	 1.202836e+03	 1100	 7.665463e+02	 98	 20.15	 700	 700
