subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_145	 1	 1463.jpg	 1.131991e+00	 24	 999000	 240	 999000	 999	 2.15	 750	 750
p_145	 1	 2075.jpg	 4.131394e+00	 24	 999000	 240	 999000	 999	 5.15	 750	 750
p_145	 1	 4625.jpg	 8.131246e+00	 12	 999000	 120	 999000	 999	 9.15	 750	 750
p_145	 1	 5270.jpg	 1.013114e+01	 22	 999000	 2	 7.665922e+02	 999	 11.15	 750	 700
p_145	 1	 5700.jpg	 1.213109e+01	 12	 999000	 120	 999000	 999	 13.15	 750	 700
p_145	 1	 7330.jpg	 1.613094e+01	 24	 999000	 240	 999000	 999	 17.15	 750	 700
p_145	 1	 8120.jpg	 1.813082e+01	 24	 999000	 240	 999000	 999	 19.15	 750	 700
p_145	 1	 8503.jpg	 2.313068e+01	 11	 999000	 1	 7.665529e+02	 999	 24.15	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
p_145	 1	 1463.jpg	 1.137299e+00	 24	 999000	 240	 999000	 999	 2.15	 750	 750
p_145	 1	 2075.jpg	 6.137183e+00	 24	 999000	 240	 999000	 999	 7.15	 750	 750
p_145	 1	 4625.jpg	 8.137072e+00	 12	 999000	 120	 999000	 999	 9.15	 750	 750
p_145	 1	 5270.jpg	 1.013701e+01	 22	 999000	 2	 7.665717e+02	 999	 11.15	 750	 700
p_145	 1	 5700.jpg	 1.613680e+01	 12	 999000	 120	 999000	 999	 17.15	 750	 700
p_145	 1	 7330.jpg	 1.813670e+01	 24	 999000	 240	 999000	 999	 19.15	 750	 700
p_145	 1	 8120.jpg	 2.113660e+01	 24	 999000	 240	 999000	 999	 22.15	 750	 700
p_145	 1	 8503.jpg	 2.313651e+01	 11	 1.261764e+03	 1100	 7.665738e+02	 98	 24.15	 700	 700
