  dataset        a       t0        d      szr       sv      st0  penalty      fit     time   method
      201   0.7814   0.7929   0.0138   0.9798   0.1582   0.5228   0.0000  63.9936  19.2950       ML
      202   1.0770   0.2938  -0.0299   0.5266   0.6734   0.1970   0.0000  54.6198  13.1460       ML
      203   0.5282   0.8678  -0.0808   1.0000   0.7321   0.6497   0.0000  52.9399  36.8810       ML
      205   0.6835   0.9777   0.0155   0.1361   0.6116   0.6610   0.0000  54.1699   7.6150       ML
      206   0.8927   0.8413  -0.0132   1.0000   0.2531   0.7301   0.0000  83.9251  51.6920       ML
      207   1.0622   0.7218  -0.0386   0.7444   0.6279   0.3479   0.0000  73.2406  30.2340       ML
      209   0.8771   0.7044   0.0612   0.3601   0.4624   0.5880   0.0000  73.9492  18.3910       ML
      211   0.9351   0.6981  -0.0138   0.9999   1.1238   0.4125   0.0000  57.3607  32.1190       ML
      212   0.7592   0.8014  -0.0267   0.2367   0.4207   0.9373   0.0000 102.7404  11.8290       ML
      214   0.8491   0.9068  -0.1027   0.2667   0.9626   0.5384   0.0000  62.0487  41.1030       ML
      217   0.9917   0.3973  -0.0268   0.8970   0.0001   0.3908   0.0000  68.4615  31.1630       ML
      218   0.9358   0.7443   0.1002   0.6869   0.5111   0.3827   0.0000  61.1535 76473.5560       ML
      219   0.8564   0.7263   0.0750   0.0551   1.0643   0.3406   0.0000  39.8387   7.1680       ML
      220   0.9308   0.7970   0.0043   0.6793   0.0000   0.4773   0.0000  69.4366  40.8260       ML
      221   0.9414   0.7807  -0.0837   0.8935   0.3565   0.4400   0.0000  68.9169  22.6290       ML
      222   1.1032   0.6257  -0.0306   0.6221   0.4593   0.1521   0.0000  60.0398  11.6810       ML
      223   0.6423   0.8614   0.0397   0.1419   0.0014   0.6665   0.0000  67.7654  10.2510       ML
      224   0.7228   0.8598   0.0642   0.9571   0.4150   0.7493   0.0000  72.7878  20.2580       ML
      225   1.0172   0.5822  -0.0860   0.1419   0.6349   0.4163   0.0000  68.5702   8.1510       ML
      226   1.0635   0.4659  -0.0042   0.8979   0.4331   0.1798   0.0000  53.3398  15.1860       ML
      227   0.9817   0.7604  -0.0687   1.0000   1.3083   0.4166   0.0000  56.0378  51.0960       ML
      228   0.9356   0.6088  -0.0103   0.7779   0.8195   0.1641   0.0000  19.4347  19.5880       ML
      229   0.9328   0.7361   0.0297   0.5328   0.4560   0.4326   0.0000  67.6867  28.3110       ML
      231   1.1064   0.7005   0.0352   1.0000   1.2665   0.3188   0.0000  61.9853  32.2230       ML
      232   1.0625   0.5652   0.1130   0.1268   0.4766   0.4934   0.0000  87.5130   5.6950       ML
      233   1.1203   0.6517   0.0205   0.7848   0.8947   0.1760   0.0000  58.2286  24.6330       ML
      234   0.7193   0.8814  -0.0990   0.7286   0.7809   0.6058   0.0000  65.8470  56.6670       ML
 fast_dm_data   1.0488   0.5919  -0.0217   0.0609   0.6245   0.7655   0.0000 2827.0435 216.6580       ML
