  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      201   0.7803   0.8820  -0.6181   0.7611  -0.0848   0.3548   0.7514   0.5119   0.0000  53.9987 203.4790       ML
      202   0.4167   1.0536   0.7028   0.3174   0.0326   0.5596   0.3327   0.2300   0.0000  50.1969 144.3090       ML
      203   0.5217   0.5722  -1.3958   0.8524  -0.0513   0.2240   0.6976   0.6179   0.0000  46.3077 124.8920       ML
      205   0.5174   0.6515  -0.3844   0.9873   0.0247   0.0000   0.8805   0.6416   0.0000  48.0412  83.1030       ML
      206   0.3474   0.8936   0.6143   0.8218   0.0417   0.6949   0.2097   0.7131   0.0000  84.7812 207.6790       ML
      207   0.5088   0.8964   0.7017   0.7965  -0.0322   0.7487   0.2996   0.5109   0.0000  66.1143 843.3410       ML
      209   0.3945   0.9641   1.4897   0.6906   0.1024   0.1922   0.0001   0.5718   0.0000  60.8065  71.5960       ML
      211   0.5841   0.9405  -0.6488   0.6891  -0.0427   0.8317   0.2634   0.4099   0.0000  59.8270 155.8930       ML
      212   0.5139   1.0902  -0.2196   0.6624   0.0778   0.0000   0.6664   0.7043   0.0000 101.5697  40.9600       ML
      214   0.7482   1.1422  -2.9600   0.9286  -0.2444   0.4473   0.0002   0.5822   0.0000  47.9712 127.0700       ML
      217   0.4661   1.0183   0.3904   0.3920  -0.0065   0.9322   0.1978   0.3907   0.0000  66.2247 174.3350       ML
      218   0.6860   0.9877   1.4409   0.7658   0.0471   0.6280   0.1690   0.4316   0.0000  -0.6201 155.3770       ML
      219   0.5259   0.9196   1.3453   0.7008   0.0576   0.0002   0.0002   0.3070   0.0000   7.7608  28.2720       ML
      220   0.7243   0.4682  -2.5580   0.9491  -0.0098   0.1417   1.1641   0.7446   0.0000  64.3028 133.2190       ML
      221   0.3451   0.9750   0.0290   0.7302  -0.0109   0.6903   0.1723   0.3875   0.0000  60.2501 125.2520       ML
      222   0.4699   1.1086   0.0636   0.6237  -0.0168   0.6132   0.4797   0.1465   0.0000  59.8768  86.5690       ML
      223   0.4499   0.7055   1.0726   0.8681   0.0545   0.8998   1.8909   0.6652   0.0000  61.8431 231.5490       ML
      224   0.6302   0.5931   0.5444   0.8617   0.0441   0.0001   0.2126   0.7208   0.0000  56.9039  46.5180       ML
      225   0.5406   1.1886   0.1026   0.5472  -0.0313   0.0000   1.3989   0.3327   0.0000  65.4958  84.5240       ML
      226   0.5565   1.0903  -0.2265   0.4568  -0.0260   0.8869   1.0192   0.1859   0.0000  52.3922 202.8140       ML
      227   0.3356   0.9723  -0.2842   0.7449  -0.0097   0.6712   1.2093   0.4136   0.0000  42.3999 157.0050       ML
      228   0.5386   0.9671   1.2591   0.6203  -0.0142   0.8532   0.0002   0.1612   0.0000  -1.1943 130.0300       ML
      229   0.3314   1.0782   1.4158   0.7068   0.1607   0.4643   0.0516   0.3565   0.0000  59.5592  73.6810       ML
      231   0.5782   1.0255  -0.0345   0.6890  -0.0039   0.8436   0.8097   0.3188   0.0000  62.4950 138.4780       ML
      232   0.2958   1.0851   0.8723   0.5901   0.2027   0.2566   0.0001   0.5282   0.0000  85.4876 122.7130       ML
      233   0.4861   1.1419  -0.4838   0.6522   0.0248   0.8134   0.9370   0.1727   0.0000  55.2238 273.2570       ML
      234   0.3347   1.2024   1.4154   0.7362   0.0083   0.6688   0.0742   0.2986   0.0000  61.3584 119.3790       ML
