  dataset     zr_1     zr_2        a      v_1       t0        d      szr       sv      st0      v_2  penalty      fit     time   method
       01   0.7408   0.8390   0.8716  -0.7279   0.7549  -0.0802   0.0000   0.1242   0.5228  -0.8292   0.0000  54.2122 139.8520       ML
       02   0.4930   0.5604   1.1101   0.4894   0.2905  -0.0453   0.5641   0.8856   0.1850  -0.1228   0.0000  52.8026 148.5680       ML
       03   0.3871   0.3237   0.7248   0.1711   0.8390  -0.0207   0.6475   0.9058   0.6229  -0.3464   0.0000  43.7389 631.2940       ML
       05   0.7794   0.7252   0.8117  -2.4798   0.9738  -0.0573   0.2262   0.0000   0.6310  -1.5647   0.0000  49.8442 266.8440       ML
       06   0.5864   0.4135   0.9171  -1.2028   0.8234  -0.0205   0.8270   0.3135   0.7409   0.4164   0.0000  84.9007 514.7350       ML
       07   0.5015   0.6048   0.9030  -0.3827   0.7815  -0.0575   0.4347   0.0000   0.5158   1.3770   0.0000  52.9129 245.4780       ML
       09   0.4353   0.3836   0.9521   1.4724   0.7136   0.1052   0.4839   0.0003   0.5840   1.6649   0.0000  60.6872 262.5520       ML
       11   0.1849   0.4204   1.0363   3.6799   0.6698   0.0619   0.3698   1.2982   0.4422  -0.6350   0.0000  45.0687 331.7380       ML
       12   0.6847   0.5842   1.4107  -0.6832   0.7334  -0.0315   0.5926   3.3109   0.7327  -0.1891   0.0000 102.5207 185.1160       ML
       14   0.8160   0.7941   1.0946  -3.4761   0.9127  -0.2479   0.0069   0.0368   0.5624  -2.4235   0.0000  48.6906 138.8120       ML
       17   0.6555   0.3937   0.9434  -0.0805   0.3966  -0.0485   0.6890   0.1883   0.3731   0.0381   0.0000  60.5951 148.3530       ML
       18   0.5982   0.4613   0.9977   1.5657   0.7489   0.0972   0.1136   0.0001   0.4454   2.5122   0.0000  10.6743  61.7330       ML
       19   0.6569   0.5243   1.0207   2.6232   0.7306   0.0595   0.6862   0.0658   0.3804   0.8949   0.0000  -3.8355 300.2370       ML
       20   0.8769   0.5629   1.1794  -4.7989   0.7756  -0.0979   0.2461   0.8903   0.4657   0.4037   0.0000  43.4800 102.6510       ML
       21   0.2971   0.2663   1.0563   1.0173   0.7102   0.0312   0.5325   0.2817   0.3806  -0.0988   0.0000  56.7767 125.6790       ML
       22   0.3999   0.5961   1.1580  -0.8505   0.6452  -0.0227   0.7998   0.0065   0.1560   0.8444   0.0000  38.9355 100.1680       ML
       23   0.6817   0.5069   1.0662   0.6908   0.7003  -0.0589   0.0093   0.8794   0.3761  -0.4701   0.0000  60.6580  74.3590       ML
       24   0.3933   0.3736   0.8193   3.4636   0.8327   0.1139   0.7472   0.0026   0.6421   1.0094   0.0000  53.9086 301.5720       ML
       25   0.7909   0.6550   1.1283   0.1359   0.6012  -0.2063   0.4181   0.8655   0.3600  -1.3827   0.0000  41.3751 101.2380       ML
       26   0.6606   0.5731   1.0496  -0.9362   0.4399  -0.0699   0.5422   0.0074   0.2058  -0.2507   0.0000  52.4184 153.1790       ML
       27   0.4147   0.2580   0.9436  -0.1993   0.7440  -0.0203   0.5161   0.8996   0.4061  -0.3102   0.0000  42.1989 219.6080       ML
       28   0.6401   0.5065   0.9791   0.8117   0.5972  -0.0310   0.7197   0.0939   0.1582   1.1963   0.0000  -1.3061  55.7290       ML
       29   0.4221   0.4270   1.0604   1.7702   0.7359   0.0829   0.8443   0.1513   0.3810   0.5493   0.0000  57.3488 150.1930       ML
       31   0.6165   0.6989   1.1754  -1.6760   0.6820  -0.0653   0.6023   0.1663   0.3814   1.6014   0.0000  31.0010  63.2920       ML
       32   0.5388   0.4650   1.1882  -0.4664   0.5459   0.0457   0.1137   1.2365   0.4357   0.3977   0.0000  81.4169  39.4840       ML
       33   0.7187   0.4406   1.1976  -1.2074   0.6388  -0.0196   0.5625   1.3057   0.1680  -0.6878   0.0000  46.6509  75.5110       ML
       34   0.3527   0.2749   1.2003   1.0516   0.7234   0.0276   0.4807   0.0000   0.2961   1.9287   0.0000  61.0083 113.5770       ML
