subjectID runNum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2
BMI_bfr_105 1 001.jpg 1.131319e+00 24 999000 240 999000 999 2.15 750 750
BMI_bfr_105 1 002.jpg 4.118227e+00 24 999000 240 999000 999 5.14 750 750
BMI_bfr_105 1 003.jpg 6.120274e+00 12 999000 120 999000 999 7.14 750 750
BMI_bfr_105 1 004.jpg 8.122461e+00 22 999000 2 7.508003e+02 999 9.19 750 700
BMI_bfr_105 1 005.jpg 1.012474e+01 12 999000 120 999000 999 11.14 750 700
BMI_bfr_105 1 006.jpg 1.311114e+01 24 999000 240 999000 999 14.13 750 700
BMI_bfr_105 1 007.jpg 1.511364e+01 24 999000 240 999000 999 16.13 750 700
BMI_bfr_105 1 008.jpg 1.911810e+01 11 1.117977e+03 1100 7.507203e+02 98 20.14 700 700
subjectID runNum itemname onsettime trialtype RT respInTime Audiotime response fixationtime ladder1 ladder2
BMI_bfr_105 1 001.jpg 1.099605e+00 24 999000 240 999000 999 2.12 750 750
BMI_bfr_105 1 002.jpg 4.103307e+00 24 999000 240 999000 999 5.12 750 750
BMI_bfr_105 1 003.jpg 6.105530e+00 12 999000 120 999000 999 7.12 750 750
BMI_bfr_105 1 004.jpg 8.107872e+00 22 1.065174e+03 2200 7.503465e+02 98 9.13 750 700
BMI_bfr_105 1 005.jpg 1.009299e+01 12 999000 120 999000 999 11.11 750 700
BMI_bfr_105 1 006.jpg 1.309665e+01 24 999000 240 999000 999 14.11 750 700
BMI_bfr_105 1 007.jpg 1.509897e+01 24 999000 240 999000 999 16.12 750 700
BMI_bfr_105 1 008.jpg 1.910344e+01 11 1.037607e+03 1100 7.500632e+02 98 20.12 700 700
