subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_211	 1	 1270.jpg	 1.168987e+00	 24	 999000	 240	 999000	 999	 2.18	 750	 750
N_211	 1	 6250.jpg	 4.134898e+00	 24	 999000	 240	 999000	 999	 5.15	 750	 750
N_211	 1	 9302.jpg	 8.134754e+00	 12	 999000	 120	 999000	 999	 9.15	 750	 750
N_211	 1	 9417.jpg	 1.013462e+01	 22	 999000	 2	 7.666026e+02	 999	 11.15	 750	 700
N_211	 1	 9471.jpg	 1.213456e+01	 12	 999000	 120	 999000	 999	 13.15	 750	 700
N_211	 1	 9520.jpg	 1.613444e+01	 24	 999000	 240	 999000	 999	 17.15	 750	 700
N_211	 1	 9560.jpg	 1.813432e+01	 24	 999000	 240	 999000	 999	 19.15	 750	 700
N_211	 1	 9830.jpg	 2.313415e+01	 11	 999000	 1	 7.665677e+02	 999	 24.15	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_211	 1	 1270.jpg	 1.124918e+00	 24	 999000	 240	 999000	 999	 2.14	 750	 750
N_211	 1	 6250.jpg	 4.124872e+00	 24	 999000	 240	 999000	 999	 5.14	 750	 750
N_211	 1	 9302.jpg	 6.124774e+00	 12	 999000	 120	 999000	 999	 7.14	 750	 750
N_211	 1	 9417.jpg	 8.124684e+00	 22	 999000	 2	 7.666043e+02	 999	 9.14	 750	 700
N_211	 1	 9471.jpg	 1.012462e+01	 12	 999000	 120	 999000	 999	 11.14	 750	 700
N_211	 1	 9520.jpg	 1.312452e+01	 24	 999000	 240	 999000	 999	 14.14	 750	 700
N_211	 1	 9560.jpg	 1.512441e+01	 24	 999000	 240	 999000	 999	 16.14	 750	 700
N_211	 1	 9830.jpg	 1.912428e+01	 11	 999000	 1	 7.665691e+02	 999	 20.14	 700	 700
