subjectID	 order	 runNum	 itemName	 onsetTime	 shuff_trialType	 RT	 respInTime	 CueTime	 response	 fixationTime	 ladder1	 ladder2	 bidIndex	 itemNameIndex	 bidValue	 
n_210	 2	 4	 6370.jpg	 4.338608e+02	 24	 999000	 240	 999000	 999	 4.348774e+02	 516.67	 516.67	 40.00	 22	 0.37	 
n_210	 2	 4	 9325.jpg	 4.358441e+02	 22	 8.528779e+02	 220	 5.165844e+02	 98	 4.368774e+02	 516.67	 533.33	 54.00	 44	 0.15	 
n_210	 2	 4	 1274.jpg	 4.398441e+02	 24	 999000	 240	 999000	 999	 4.408607e+02	 516.67	 533.33	 57.00	 7	 0.10	 
n_210	 2	 4	 2205.jpg	 4.428441e+02	 24	 999000	 240	 999000	 999	 4.438607e+02	 516.67	 533.33	 47.00	 10	 0.28	 
n_210	 2	 4	 9373.jpg	 4.448441e+02	 24	 999000	 240	 999000	 999	 4.458607e+02	 516.67	 533.33	 55.00	 48	 0.15	 
n_210	 2	 4	 6242.jpg	 4.478441e+02	 12	 999000	 120	 999000	 999	 4.488607e+02	 516.67	 533.33	 13.00	 20	 0.73	 
n_210	 2	 4	 9291.jpg	 4.518440e+02	 12	 999000	 120	 999000	 999	 4.528606e+02	 516.67	 533.33	 7.00	 39	 0.83	 
n_210	 2	 4	 9340.jpg	 4.558440e+02	 12	 999000	 120	 999000	 999	 4.568606e+02	 516.67	 533.33	 4.00	 45	 0.86	 
n_210	 2	 4	 9561.jpg	 4.578440e+02	 22	 1.076830e+03	 2200	 5.332417e+02	 98	 4.588606e+02	 516.67	 483.33	 51.00	 55	 0.20	 
n_210	 2	 4	 9909.jpg	 4.628440e+02	 11	 8.608556e+02	 110	 5.165724e+02	 98	 4.638772e+02	 533.33	 483.33	 17.00	 59	 0.64	 
n_210	 2	 4	 2683.jpg	 4.648440e+02	 12	 999000	 120	 999000	 999	 4.658606e+02	 533.33	 483.33	 10.00	 14	 0.77	 
n_210	 2	 4	 6312.jpg	 4.668439e+02	 22	 7.648695e+02	 220	 4.832476e+02	 98	 4.678772e+02	 533.33	 500.00	 48.00	 21	 0.28	 
n_210	 2	 4	 9427.jpg	 4.728439e+02	 11	 8.128174e+02	 110	 5.332369e+02	 98	 4.738773e+02	 550.00	 500.00	 8.00	 52	 0.80	 
n_210	 2	 4	 3103.jpg	 4.748439e+02	 22	 999000	 2	 4.998953e+02	 999	 4.758605e+02	 550.00	 450.00	 49.00	 17	 0.24	 
n_210	 2	 4	 9903.jpg	 4.768439e+02	 12	 999000	 120	 999000	 999	 4.778605e+02	 550.00	 450.00	 20.00	 58	 0.63	 
n_210	 2	 4	 9300.jpg	 4.788439e+02	 24	 999000	 240	 999000	 999	 4.798605e+02	 550.00	 450.00	 42.00	 40	 0.36	 
n_210	 2	 4	 9930.jpg	 4.828439e+02	 12	 999000	 120	 999000	 999	 4.838604e+02	 550.00	 450.00	 19.00	 60	 0.64	 
n_210	 2	 4	 2691.jpg	 4.868438e+02	 11	 9.568571e+02	 110	 5.498929e+02	 98	 4.878771e+02	 566.67	 450.00	 9.00	 15	 0.77	 
n_210	 2	 4	 9490.jpg	 4.898438e+02	 12	 999000	 120	 999000	 999	 4.908604e+02	 566.67	 450.00	 18.00	 53	 0.64	 
