subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_204	 1	 1270.jpg	 3.888631e+00	 24	 999000	 240	 999000	 999	 4.90	 750	 750
N_204	 1	 6250.jpg	 5.871517e+00	 24	 999000	 240	 999000	 999	 6.89	 750	 750
N_204	 1	 9302.jpg	 9.871628e+00	 12	 999000	 120	 999000	 999	 10.89	 750	 750
N_204	 1	 9417.jpg	 1.287169e+01	 22	 999000	 2	 7.665983e+02	 999	 13.89	 750	 700
N_204	 1	 9471.jpg	 1.487173e+01	 12	 999000	 120	 999000	 999	 17.89	 750	 700
N_204	 1	 9520.jpg	 1.840507e+01	 24	 999000	 240	 999000	 999	 19.42	 750	 700
N_204	 1	 9560.jpg	 2.187190e+01	 24	 999000	 240	 999000	 999	 22.89	 750	 700
N_204	 1	 9830.jpg	 2.587200e+01	 11	 1.213202e+03	 1100	 7.666003e+02	 98	 26.89	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_204	 1	 1270.jpg	 3.432453e+00	 24	 999000	 240	 999000	 999	 4.45	 750	 750
N_204	 1	 6250.jpg	 5.432550e+00	 24	 999000	 240	 999000	 999	 6.45	 750	 750
N_204	 1	 9302.jpg	 9.432660e+00	 12	 4.698065e+02	 12	 999000	 98	 10.45	 750	 750
N_204	 1	 9417.jpg	 1.243273e+01	 22	 1.141777e+03	 2200	 7.666000e+02	 98	 13.45	 750	 700
N_204	 1	 9471.jpg	 1.443277e+01	 12	 999000	 120	 999000	 999	 15.45	 750	 700
N_204	 1	 9520.jpg	 1.743284e+01	 24	 999000	 240	 999000	 999	 18.45	 750	 700
N_204	 1	 9560.jpg	 2.143294e+01	 24	 999000	 240	 999000	 999	 22.45	 750	 700
N_204	 1	 9830.jpg	 2.543303e+01	 11	 1.101325e+03	 1100	 7.665996e+02	 98	 26.45	 700	 700
