subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_228	 1	 1270.jpg	 3.279764e+00	 24	 999000	 240	 999000	 999	 4.30	 750	 750
N_228	 1	 6250.jpg	 5.262577e+00	 24	 999000	 240	 999000	 999	 6.28	 750	 750
N_228	 1	 9302.jpg	 9.262726e+00	 12	 999000	 120	 999000	 999	 10.28	 750	 750
N_228	 1	 9417.jpg	 1.226261e+01	 22	 999000	 2	 7.665958e+02	 999	 13.28	 750	 700
N_228	 1	 9471.jpg	 1.426262e+01	 12	 999000	 120	 999000	 999	 15.28	 750	 700
N_228	 1	 9520.jpg	 1.726272e+01	 24	 999000	 240	 999000	 999	 18.28	 750	 700
N_228	 1	 9560.jpg	 2.126277e+01	 24	 999000	 240	 999000	 999	 22.28	 750	 700
N_228	 1	 9830.jpg	 2.526315e+01	 11	 1.214105e+03	 1100	 7.662512e+02	 98	 26.28	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_228	 1	 1270.jpg	 3.296556e+00	 24	 999000	 240	 999000	 999	 4.31	 750	 750
N_228	 1	 6250.jpg	 5.296458e+00	 24	 999000	 240	 999000	 999	 6.31	 750	 750
N_228	 1	 9302.jpg	 9.296558e+00	 12	 999000	 120	 999000	 999	 10.31	 750	 750
N_228	 1	 9417.jpg	 1.229661e+01	 22	 1.061636e+03	 2200	 7.665848e+02	 98	 13.31	 750	 700
N_228	 1	 9471.jpg	 1.429660e+01	 12	 999000	 120	 999000	 999	 15.31	 750	 700
N_228	 1	 9520.jpg	 1.729666e+01	 24	 999000	 240	 999000	 999	 18.31	 750	 700
N_228	 1	 9560.jpg	 2.129673e+01	 24	 999000	 240	 999000	 999	 22.31	 750	 700
N_228	 1	 9830.jpg	 2.529679e+01	 11	 1.037273e+03	 1100	 7.665985e+02	 98	 26.31	 700	 700
