subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_234	 1	 1270.jpg	 1.139591e+00	 24	 999000	 240	 999000	 999	 2.16	 750	 750
N_234	 1	 6250.jpg	 4.138932e+00	 24	 999000	 240	 999000	 999	 5.16	 750	 750
N_234	 1	 9302.jpg	 6.138815e+00	 12	 999000	 120	 999000	 999	 7.16	 750	 750
N_234	 1	 9417.jpg	 8.138749e+00	 22	 999000	 2	 7.665793e+02	 999	 9.16	 750	 700
N_234	 1	 9471.jpg	 1.013866e+01	 12	 999000	 120	 999000	 999	 11.16	 750	 700
N_234	 1	 9520.jpg	 1.313855e+01	 24	 999000	 240	 999000	 999	 14.16	 750	 700
N_234	 1	 9560.jpg	 1.513844e+01	 24	 999000	 240	 999000	 999	 16.16	 750	 700
N_234	 1	 9830.jpg	 1.913832e+01	 11	 1.274968e+03	 1100	 7.665564e+02	 98	 20.15	 700	 700
subjectID	 runNum	 itemname	 onsettime	 trialtype	 RT	 respInTime	 Cuetime	 response	 fixationtime	 ladder1	 ladder2
N_234	 1	 1270.jpg	 1.131134e+00	 24	 999000	 240	 999000	 999	 2.15	 750	 750
N_234	 1	 6250.jpg	 6.130995e+00	 24	 999000	 240	 999000	 999	 7.15	 750	 750
N_234	 1	 9302.jpg	 8.130913e+00	 12	 999000	 120	 999000	 999	 9.15	 750	 750
N_234	 1	 9417.jpg	 1.013081e+01	 22	 1.243644e+03	 2200	 7.665776e+02	 98	 11.15	 750	 700
N_234	 1	 9471.jpg	 1.613059e+01	 12	 999000	 120	 999000	 999	 17.15	 750	 700
N_234	 1	 9520.jpg	 1.813049e+01	 24	 999000	 240	 999000	 999	 19.15	 750	 700
N_234	 1	 9560.jpg	 2.113037e+01	 24	 999000	 240	 999000	 999	 22.15	 750	 700
N_234	 1	 9830.jpg	 2.313030e+01	 11	 1.107997e+03	 1100	 7.665499e+02	 98	 24.15	 700	 700
