subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	CueTime	response	fixationtime	ladder1	ladder2
BSOV_125	 1	 Cheezits.bmp	 1.149979e+00	 24	 999000	 240	 999000	 999	 2.17	 750	 750	 
BSOV_125	 1	 Granolabar.bmp	 4.136239e+00	 24	 999000	 240	 999000	 999	 5.15	 750	 750	 
BSOV_125	 1	 Hersheykisses.bmp	 8.140730e+00	 12	 999000	 120	 999000	 999	 9.16	 750	 750	 
BSOV_125	 1	 Laffytaffyred_one.bmp	 1.014290e+01	 22	 999000	 2	 7.508306e+02	 999	 11.16	 750	 700	 
BSOV_125	 1	 Lindt_small.bmp	 1.214527e+01	 12	 999000	 120	 999000	 999	 13.16	 750	 700	 
BSOV_125	 1	 Lollipopred.bmp	 1.613305e+01	 24	 999000	 240	 999000	 999	 17.15	 750	 700	 
BSOV_125	 1	 Milano.bmp	 1.813523e+01	 24	 999000	 240	 999000	 999	 19.15	 750	 700	 
BSOV_125	 1	 RitzBitz2.bmp	 2.314098e+01	 11	 1.319867e+03	 1100	 7.506968e+02	 98	 24.16	 700	 700	 
subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	CueTime	response	fixationtime	ladder1	ladder2
BSOV_125	 1	 Cheezits.bmp	 1.059932e+00	 24	 999000	 240	 999000	 999	 2.08	 750	 750	 
BSOV_125	 1	 Granolabar.bmp	 4.063365e+00	 24	 999000	 240	 999000	 999	 5.08	 750	 750	 
BSOV_125	 1	 Hersheykisses.bmp	 6.048681e+00	 12	 999000	 120	 999000	 999	 7.07	 750	 750	 
BSOV_125	 1	 Laffytaffyred_one.bmp	 8.051113e+00	 22	 1.250683e+03	 2200	 7.508459e+02	 98	 9.07	 750	 700	 
BSOV_125	 1	 Lindt_small.bmp	 1.005336e+01	 12	 999000	 120	 999000	 999	 11.07	 750	 700	 
BSOV_125	 1	 Lollipopred.bmp	 1.305668e+01	 24	 999000	 240	 999000	 999	 14.07	 750	 700	 
BSOV_125	 1	 Milano.bmp	 1.505905e+01	 24	 999000	 240	 999000	 999	 16.08	 750	 700	 
BSOV_125	 1	 RitzBitz2.bmp	 1.906344e+01	 11	 1.302314e+03	 1100	 7.507235e+02	 98	 20.08	 700	 700	 
