subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	CueTime	response	fixationtime	ladder1	ladder2
BSOV_118	 1	 Cheezits.bmp	 1.168000e+00	 24	 999000	 240	 999000	 999	 2.19	 750	 750	 
BSOV_118	 1	 Granolabar.bmp	 6.157020e+00	 24	 999000	 240	 999000	 999	 7.17	 750	 750	 
BSOV_118	 1	 Hersheykisses.bmp	 8.159042e+00	 12	 999000	 120	 999000	 999	 9.18	 750	 750	 
BSOV_118	 1	 Laffytaffyred_one.bmp	 1.016151e+01	 22	 999000	 2	 7.507711e+02	 999	 11.18	 750	 700	 
BSOV_118	 1	 Lindt_small.bmp	 1.615138e+01	 12	 999000	 120	 999000	 999	 17.17	 750	 700	 
BSOV_118	 1	 Lollipopred.bmp	 1.815385e+01	 24	 999000	 240	 999000	 999	 19.17	 750	 700	 
BSOV_118	 1	 Milano.bmp	 2.115708e+01	 24	 999000	 240	 999000	 999	 22.17	 750	 700	 
BSOV_118	 1	 RitzBitz2.bmp	 2.315931e+01	 11	 1.091142e+03	 1100	 7.508574e+02	 98	 24.18	 700	 700	 
subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	CueTime	response	fixationtime	ladder1	ladder2
BSOV_118	 1	 Cheezits.bmp	 1.074839e+00	 24	 999000	 240	 999000	 999	 2.09	 750	 750	 
BSOV_118	 1	 Granolabar.bmp	 3.060341e+00	 24	 999000	 240	 999000	 999	 4.08	 750	 750	 
BSOV_118	 1	 Hersheykisses.bmp	 7.064759e+00	 12	 999000	 120	 999000	 999	 8.08	 750	 750	 
BSOV_118	 1	 Laffytaffyred_one.bmp	 1.006809e+01	 22	 1.104189e+03	 2200	 7.509452e+02	 98	 11.09	 750	 700	 
BSOV_118	 1	 Lindt_small.bmp	 1.207046e+01	 12	 999000	 120	 999000	 999	 13.09	 750	 700	 
BSOV_118	 1	 Lollipopred.bmp	 1.505704e+01	 24	 999000	 240	 999000	 999	 16.07	 750	 700	 
BSOV_118	 1	 Milano.bmp	 1.906153e+01	 24	 999000	 240	 999000	 999	 20.08	 750	 700	 
BSOV_118	 1	 RitzBitz2.bmp	 2.306613e+01	 11	 1.130151e+03	 1100	 7.508368e+02	 98	 24.08	 700	 700	 
