  dataset     zr_2     zr_1      a_2      v_2       t0        d      szr       sv      st0      a_1      v_1  penalty      fit     time   method
      101   0.3823   0.4722   0.9663   0.5906   0.6406  -0.0116   0.1415   0.5356   0.3753   1.0579  -0.1240   0.0000   0.9985   6.2620       KS
      102   0.4643   0.5416   0.8030  -0.1738   0.3825   0.0162   0.4639   0.6310   0.1138   0.7227  -0.1136   0.0000   0.9993   4.0430       KS
      103   0.4211   0.3750   1.1164  -0.1451   0.8104  -0.0220   0.1905   0.6908   0.2892   0.9086   0.5024   0.0000   0.9119   8.3860       KS
      104   0.5869   0.2000   1.3328  -0.7569   0.7277   0.0710   0.1218   0.8064   0.4000   1.1691   1.7499   0.0000   0.4556  12.1320       KS
      105   0.5937   0.4286   0.9080  -0.6060   0.7558  -0.0389   0.0660   0.6988   0.4128   0.8034  -0.1915   0.0000   0.9929   8.5300       KS
      106   0.3824   0.5000   0.9902   0.3193   0.7947  -0.0084   0.1379   0.5652   0.2655   0.8093   0.6616   0.0000   0.9998   7.8170       KS
      107   0.4751   0.3500   1.1433  -0.4672   0.7111   0.0229   0.2964   0.3298   0.5162   1.1622   1.0186   0.0000   0.8851   6.2410       KS
      108   0.4524   0.4615   1.2355  -0.6237   0.7463  -0.1960   0.4305   0.6907   0.6349   0.7735  -0.4996   0.0000   0.9764  18.2460       KS
      109   0.3461   0.7083   0.7516   2.1598   0.6052   0.0118   0.4388   0.5081   0.1724   0.6896   0.2872   0.0000   0.9866   5.3330       KS
      110   0.7000   0.6154   1.1420  -0.7146   0.8220   0.0424   0.3292   0.6028   0.4082   0.7472  -1.1158   0.0000   0.5839   7.6220       KS
      111   0.5000   0.5527   1.1644   0.2288   0.7268   0.0025   0.0868   0.7077   0.3639   1.0835  -0.4578   0.0000   0.9635   9.5310       KS
      112   0.4738   0.6944   1.0837  -0.0386   0.6958   0.0354   0.2285   0.7653   0.3165   1.0573  -0.9483   0.0000   0.9501  10.3870       KS
      113   0.6579   0.4688   1.1163  -0.4314   0.7892  -0.0183   0.1076   1.0675   0.5564   0.9136  -0.1792   0.0000   0.9804  18.1150       KS
      114   0.5000   0.4062   1.0247  -0.0330   0.6487  -0.0255   0.2847   0.5503   0.2429   0.9295   0.2285   0.0000   0.9942   5.9470       KS
      115   0.5556   0.3055   1.0764  -0.3207   0.7225  -0.0185   0.1620   1.3586   0.4045   1.0255   0.2231   0.0000   0.9711  12.9520       KS
      116   0.4375   0.5263   0.9304   0.2025   0.4946  -0.0159   0.2894   0.3792   0.2919   1.1310  -0.0282   0.0000   0.9795   5.7820       KS
      117   0.5769   0.5455   0.7432   0.2795   0.5678   0.0111   0.4148   0.7825   0.1849   0.6275   0.3667   0.0000   0.9993   4.0150       KS
      118   0.4474   0.2632   1.0961  -0.1237   0.6319  -0.0325   0.2636   0.5652   0.2045   1.1201   0.1844   0.0000   0.9845   8.3010       KS
      119   0.5682   0.6334   1.2670   0.1755   0.6864   0.0037   0.0446   0.7865   0.4088   0.8846  -0.4011   0.0000   0.8176  10.0780       KS
      120   0.4737   0.6667   1.1340   0.6370   0.8090  -0.0164   0.0879   0.6395   0.3689   0.7249  -0.4881   0.0000   0.9609   8.2120       KS
      122   0.5357   0.4667   0.8173  -0.0464   0.6147  -0.0126   0.4022   0.8862   0.1854   0.8492  -0.0253   0.0000   0.9990   6.8440       KS
      123   0.5000   0.3572   0.9638  -0.1511   0.5922   0.0085   0.4390   0.1319   0.2902   0.8315   0.9531   0.0000   0.9903   2.7150       KS
      124   0.4444   0.3055   1.0761   0.5489   0.6100  -0.0254   0.3054   0.4859   0.2307   1.0834   0.4221   0.0000   0.9539   3.6600       KS
      125   0.5625   0.4667   0.9417   0.1105   0.6844  -0.0042   0.3019   0.6827   0.2051   0.8841   0.3767   0.0000   0.9808   6.0320       KS
      126   0.3928   0.6177   0.7906   0.6986   0.7485  -0.0197   0.1440   0.7626   0.3214   0.9951   0.4147   0.0000   0.9967   9.7080       KS
 fast_dm_data   0.5277   0.5000   1.0588  -0.1429   0.6484  -0.0254   0.2062   0.5149   0.5078   0.9373   0.0118   0.0000   0.4837  14.6370       KS
