  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.8784   0.8699   0.7930   0.0010   0.1861   0.0000   0.5435   0.0000   0.0669  12.6640       ML
      102   0.7444   0.7659   0.3972  -0.0640   0.3788   0.0004   0.2060   0.0000 -60.8711  11.4680       ML
      103   0.5919   0.6566   0.9243  -0.0170   0.1408   0.1750   0.5546   0.0000  45.7354  26.8950       ML
      104   0.6126   0.5424   0.9605  -0.0444   0.5247   0.3395   0.6732   0.0000  55.7611 280.0970       ML
      105   0.4402   0.8738   0.7179  -0.1057   0.0000   0.0007   0.5574   0.0000  63.5543 105.9260       ML
      106   0.5761   0.8851   0.8245  -0.0140   0.8479   0.0045   0.2810   0.0000  32.2424 130.9980       ML
      107   0.6445   0.7496   0.8491   0.0210   0.6721   0.3362   0.7237   0.0000  67.6677 210.6820       ML
      108   0.6301   0.8252   0.7837   0.0339   0.1194   0.0000   0.8700   0.0000 103.2819  58.7640       ML
      109   0.6182   0.7575   0.5671   0.0320   0.1862   0.0000   0.2675   0.0000 -31.7541  46.4610       ML
      110   0.5980   0.8719   0.8053   0.0493   0.0001   0.0005   0.5165   0.0000  57.4346  36.1130       ML
      111   0.4647   0.7710   0.8505   0.0814   0.5802   0.3796   0.5714   0.0000  63.0136 277.1400       ML
      112   0.7200   0.5028   0.9030   0.0099   0.5600   0.5351   0.6297   0.0000  36.3700  89.1050       ML
      113   0.7634   0.7411   0.9403   0.1515   0.0843   0.0025   0.6416   0.0000  39.2088  70.6680       ML
      114   0.7484   1.0139   0.6655  -0.0552   0.5027   0.0773   0.2782   0.0000  15.0528  84.2070       ML
      115   0.4659   0.7479   0.8078   0.0922   0.0000   0.7068   0.4775   0.0000  54.0485  39.2080       ML
      116   0.8814   1.2926   0.4982  -0.2209   0.1178   0.2396   0.3683   0.0000  -2.3974  40.4440       ML
      117   0.6551   0.6259   0.5863  -0.0283   0.6896   0.7089   0.1941   0.0000 -55.7137  41.2720       ML
      118   0.6895   0.8525   0.7175  -0.0657   0.6179   0.5145   0.4444   0.0000  43.8841  86.0450       ML
      119   0.6736   0.9127   0.7731   0.0416   0.3490   0.0281   0.4872   0.0000  61.8398  93.2970       ML
      120   0.5318   0.8128   0.8741   0.1662   0.5276   0.4387   0.4756   0.0000  53.1898 115.5240       ML
      122   0.9247   0.9959   0.6721  -0.0607   0.1055   0.0000   0.4158   0.0000 -68.9574  37.9890       ML
      123   0.7142   0.7882   0.6366  -0.0303   0.4210   0.0545   0.3753   0.0000   6.0058 130.9210       ML
      124   0.7647   1.1699   0.6075  -0.1076   0.0004   0.6724   0.3604   0.0000  41.0141  38.5840       ML
      125   0.8285   0.9597   0.7359  -0.0367   0.2361   0.0018   0.3133   0.0000 -23.6805  26.1870       ML
      126   0.5788   0.9498   0.7231  -0.0227   0.2131   1.2379   0.3794   0.0000  49.9717  66.5120       ML
