  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   1.0318  -0.1944   0.5460  -0.0260   0.0002   0.5092   0.3133   0.0000  66.4705  47.8220       ML
      102   0.8361  -0.7658   0.7746  -0.0001   0.0439   0.6586   0.7663   0.0000  95.7737  44.4310       ML
      103   1.1452   0.8049   0.5844   0.0001   0.3877   0.5049   0.3024   0.0000  79.2883  36.0960       ML
      104   1.4948   2.3451   0.6428   0.2312   0.0007   0.0003   0.1933   0.0000 -23.4553  24.1160       ML
      105   0.9490   0.9533   0.5484   0.0253   0.6150   1.1919   0.4418   0.0000  55.1636 191.3630       ML
      106   1.0131   2.5774   0.7231   0.1791   0.0002   1.9809   0.3986   0.0000  14.5054 110.5230       ML
      107   0.9500  -0.4584   0.6327  -0.0166   0.0000   0.0003   0.4271   0.0000  71.6901  97.8340       ML
      108   1.0859   0.9215   0.5686  -0.0210   0.0014   1.1277   0.4092   0.0000  42.3556  85.3120       ML
      109   0.9300  -0.0386   0.5466   0.0221   0.4435   0.0014   0.5644   0.0000  74.1548  95.7210       ML
      110   0.8830  -0.3261   0.5067   0.0005   0.0144   1.3325   0.3579   0.0000  25.9735  90.1630       ML
      111   1.0973  -0.4545   0.6663   0.0906   0.1560   1.4011   0.4801   0.0000  77.9559  75.3350       ML
      112   0.8557   0.1096   0.3234  -0.0271   0.8697   0.5190   0.1359   0.0000  -1.8130 159.7780       ML
      113   1.0816   0.2905   0.5834  -0.0195   0.0003   0.0002   0.3064   0.0000  73.3017  63.8740       ML
      115   1.0465   0.2680   0.6071   0.0353   0.0006   0.5269   0.3263   0.0000  72.0516  35.0570       ML
      116   0.8795   1.3326   0.7183   0.0657   0.0002   0.0003   0.4071   0.0000  29.3635  59.7060       ML
      117   0.9929   1.8354   0.4843  -0.0033   0.3549   0.0001   0.2056   0.0000 -26.3133 116.8340       ML
      118   0.9589   0.8999   0.5427   0.0416   0.3441   0.5221   0.2891   0.0000  32.5751  60.6990       ML
      119   0.9038   0.1860   0.7313   0.0224   0.9967   0.0001   0.4436   0.0000  65.0338 324.4580       ML
      120   1.1665   1.9182   0.5065   0.0676   0.2840   0.0009   0.2620   0.0000 -13.1440  60.6970       ML
      121   0.7933   0.4175   0.7076  -0.0127   1.0000   0.1502   0.7362   0.0000  83.0253 251.7470       ML
      122   1.0814   4.4715   0.7275   0.0329   0.7278   3.0612   0.4792   0.0000   9.8522 245.0220       ML
      123   1.0636   1.9451   0.5291  -0.0322   0.0004   0.4189   0.3822   0.0000  14.4749  35.8960       ML
      124   0.9397   0.1232   0.5985   0.1637   0.1216   0.0021   0.5456   0.0000  70.2852  66.5190       ML
      126   1.0754   1.9257   0.4080   0.0047   0.0025   0.0724   0.1030   0.0000 -38.9592  27.2590       ML
      127   0.9771   0.4186   0.5025   0.0387   0.2993   0.7455   0.2643   0.0000  39.0555  56.4810       ML
