  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       01   0.4203   0.2747   1.0961   0.0517   0.5597   0.0497   0.5493   0.2646   0.2904   1.0297   0.0000  61.5903 234.7850       ML
       02   0.5197   0.6372   0.9635  -0.1165   0.7813  -0.0244   0.7256   0.6485   0.7572  -3.1031   0.0000  85.9571 498.5280       ML
       03   0.5323   0.5505   1.1372   0.9729   0.6197  -0.0364   0.5986   0.1562   0.4257   0.3894   0.0000  80.8067 524.3030       ML
       04   0.5474   0.6482   1.5766   2.7810   0.7245   0.2505   0.7036   0.0563   0.2111   2.4823   0.0000 -26.1165 151.6100       ML
       05   0.5447   0.4803   0.9427   1.0798   0.5534   0.0175   0.6023   1.4258   0.4561   0.8318   0.0000  54.3626 447.5760       ML
       06   0.8073   0.6860   0.9625   1.6330   0.7280   0.1074   0.3853   0.5705   0.4115   0.1225   0.0000   1.2563  86.3040       ML
       07   0.5474   0.8547   0.9086  -0.5060   0.6976  -0.0356   0.0142   0.5789   0.5426  -4.7003   0.0000  60.7759 183.5620       ML
       08   0.7862   0.9202   1.0438  -0.7862   0.6378  -0.2523   0.1444   1.0704   0.4503  -1.2618   0.0000  29.7703  77.2210       ML
       09   0.6141   0.4857   0.8997  -0.6941   0.5522  -0.0669   0.1166   0.0041   0.5726   0.1595   0.0000  74.6235 266.8940       ML
       10   0.5073   0.5517   0.9114  -0.7475   0.4883   0.0359   0.0000   1.1353   0.3565  -0.2561   0.0000  24.9442  93.5110       ML
       11   0.3051   0.2369   1.1232   0.4348   0.6617   0.1699   0.0067   0.1151   0.3226   0.9412   0.0000  67.4390 106.7450       ML
       12   0.6066   0.5335   0.8949  -0.5521   0.2971  -0.0516   0.7869   0.5973   0.1145  -0.1554   0.0000  -2.4924  91.2210       ML
       13   0.4866   0.4801   1.1498   0.8611   0.5856   0.0258   0.1469   0.7882   0.2630  -0.1114   0.0000  64.3569  68.5310       ML
       15   0.5683   0.7221   1.0610  -0.5005   0.6283  -0.0583   0.4260   0.3684   0.3090  -0.3324   0.0000  64.3461 144.1530       ML
       16   0.6866   0.7149   0.9342   1.6089   0.7255  -0.0379   0.5700   0.3324   0.4153  -0.8031   0.0000  10.8671  89.6780       ML
       17   0.4528   0.4505   1.0115   1.6409   0.4621  -0.0333   0.1453   0.5921   0.2153   2.5521   0.0000 -25.0143  62.6450       ML
       18   0.5483   0.8651   0.9354   0.8057   0.5703  -0.0487   0.1892   0.4345   0.3804  -1.8395   0.0000  25.7072 103.8950       ML
       19   0.6199   0.8070   1.1929   0.8451   0.6927  -0.0635   0.3860   3.1568   0.4277  -3.1056   0.0000  61.0162 239.7810       ML
       20   0.3045   0.5337   1.3723   3.5899   0.4819   0.0208   0.0017   1.4890   0.2057   2.1715   0.0000 -27.2694  57.3650       ML
       21   0.2983   0.5704   0.7616   1.7356   0.7058   0.0037   0.5966   0.1616   0.7693  -0.0450   0.0000  82.3746 209.2020       ML
       22   0.6991   0.8366   1.0564   2.1402   0.6584  -0.1201   0.3268   1.2975   0.4479   0.6085   0.0000   5.8058  78.6610       ML
       23   0.6376   0.7390   1.0273   2.2068   0.5337  -0.1506   0.2335   0.6627   0.4277   0.5306   0.0000  10.9835  96.8290       ML
       24   0.1476   0.1941   1.1894   2.0502   0.6154   0.2863   0.2951   0.8422   0.4962   2.6569   0.0000  58.1802 235.9590       ML
       26   0.4884   0.6157   1.0578   1.6894   0.4135  -0.0173   0.0005   0.0002   0.1160   1.8394   0.0000 -42.7764  24.6480       ML
       27   0.5158   0.4456   0.9845   0.5599   0.5139   0.0320   0.4809   0.5950   0.2373   0.2848   0.0000  33.5032 167.1950       ML
