  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.9543   0.1486   0.6778   0.0050   0.0455   0.6308   0.5010   0.0000  74.5803  43.7640       ML
      102   0.8872  -0.4545   0.7072   0.0067   0.7719   0.0488   0.3842   0.0000  52.2471 505.8350       ML
      103   0.8489  -0.2463   0.6812  -0.0083   0.7335   0.0557   0.3618   0.0000  35.7889 159.1560       ML
      104   0.9335   0.9678   0.7944   0.0301   0.9833   0.0002   0.3368   0.0000  37.9081 174.0740       ML
      105   0.9950   1.5271   0.7658   0.1122   0.0003   2.4745   0.3178   0.0000  24.9933  34.3790       ML
      106   0.8782   1.4022   0.8329   0.2187   0.3990   0.0899   0.7763   0.0000  55.1282  83.4600       ML
      107   1.3511   0.6917   0.6075   0.0191   0.0002   1.0186   0.3429   0.0000  73.2165  28.3170       ML
      108   0.8668   0.2621   0.8255   0.0906   0.9394   0.0010   0.4951   0.0000  64.0525 169.3500       ML
      109   1.0604  -0.1670   0.7457  -0.0099   0.0441   0.7366   0.3668   0.0000  65.4664  65.6580       ML
      110   1.0857   0.7272   0.6729   0.0663   0.0024   0.0087   0.4888   0.0000  72.0359  70.8800       ML
      111   1.2883   0.6954   0.6006  -0.0353   0.3810   0.8721   0.2044   0.0000  79.1781 102.4060       ML
      112   0.6843  -0.7019   0.8545   0.0479   0.6499   0.0001   0.4951   0.0000  37.3788 123.6630       ML
      113   0.8974   0.5670   0.7866   0.1209   0.3315   0.0017   0.4467   0.0000  51.7592  89.6510       ML
      114   1.0301   1.5928   0.7140   0.1360   0.4665   0.0895   0.1184   0.0000 -12.5681  35.2750       ML
      115   0.6909   2.1588   0.9188   0.0923   1.0000   0.2719   0.7428   0.0000  56.9909 185.3590       ML
      116   0.5385   1.9516   0.9237   0.1876   0.2190   0.0000   0.7985   0.0000  61.0313 102.8410       ML
      118   0.9993   1.0354   0.6470  -0.0218   0.0001   0.9622   0.3633   0.0000  50.4798  38.4840       ML
      119   0.8939   0.6514   0.5912  -0.0231   0.7453   0.7129   0.4591   0.0000  57.1304 238.4970       ML
      120   0.9284   1.0928   0.8318   0.1269   0.9997   0.0147   0.4605   0.0000  42.9844 198.0070       ML
      121   0.8652   0.3099   0.7611  -0.0340   0.1329   1.2575   0.5412   0.0000  62.2560  41.3160       ML
      122   0.8196  -0.0811   0.7280   0.0616   0.0002   0.0003   0.3388   0.0000  36.4057  81.1870       ML
      123   0.9914   0.4046   0.6614   0.0566   0.0005   0.6800   0.4214   0.0000  76.0317  82.6300       ML
      124   0.1626  -5.1479   1.0311   0.0175   0.6307   0.5171   0.7944   0.0000  44.4468 151.1930       ML
      125   1.0146  -0.1746   0.7841   0.0743   0.9851   0.0000   0.3854   0.0000  72.3692 485.9850       ML
      127   0.7351   0.0601   0.9223   0.0236   0.7687   0.1351   0.5246   0.0000  53.3088 341.8300       ML
 fast_dm_data   1.1358   0.3305   0.6182   0.0566   0.0001   0.6707   0.5430   0.0000 2060.4661 950.7520       ML
