  dataset       zr        a       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.5494   0.9586   0.6815  -0.0125   0.1895   0.7140   0.4983   0.0000  74.1647  20.6810       ML
      102   0.4371   0.8799   0.6942   0.0442   0.6248   0.0012   0.3723   0.0000  52.4835  82.1130       ML
      103   0.4855   0.8225   0.6894   0.0061   0.6860   0.2027   0.3604   0.0000  33.1998  50.8050       ML
      104   0.6276   0.8873   0.7646  -0.0387   0.5418   0.0539   0.3485   0.0000  41.3168 109.5750       ML
      105   0.6997   0.9078   0.7721   0.0574   0.2380   0.7604   0.3202   0.0000  23.9876  32.7130       ML
      106   0.7196   0.8121   0.8234   0.1455   0.5604   0.0792   0.8471   0.0000  61.5149  64.2630       ML
      107   0.6576   1.4267   0.5711  -0.1311   0.0351   0.8229   0.4245   0.0000  79.3111  30.6300       ML
      108   0.5197   0.8533   0.8144   0.0881   0.7070   0.0413   0.4911   0.0000  64.6973 145.7060       ML
      109   0.4737   1.2323   0.6976   0.0254   0.2128   1.1289   0.2354   0.0000  69.3320  46.0550       ML
      110   0.5811   1.3728   0.5638   0.0098   0.0000   0.7153   0.3271   0.0000  87.4735  55.9150       ML
      111   0.6815   1.0243   0.7161  -0.0837   0.3130   0.1773   0.5242   0.0000  75.5822 105.5230       ML
      112   0.3767   0.6698   0.8635   0.0976   0.6101   0.0000   0.5051   0.0000  35.8666 153.5300       ML
      113   0.5854   0.8983   0.7757   0.0906   0.0054   0.0000   0.4500   0.0000  53.3649  55.1690       ML
      114   0.8199   0.7387   0.8216   0.0384   0.3106   0.0005   0.3820   0.0000 -14.5938  63.7710       ML
      115   0.7017   1.2015   0.6873  -0.0961   0.0000   0.4063   0.4205   0.0000  73.1767  42.2710       ML
      116   0.6867   1.3671   0.5988   0.0414   0.1501   0.4338   0.2542   0.0000  77.6621  19.0180       ML
      118   0.6929   0.9507   0.6715  -0.1028   0.6126   0.3117   0.3765   0.0000  48.3539  93.0900       ML
      119   0.6023   0.8727   0.5775  -0.0589   0.5397   0.0053   0.4585   0.0000  57.2691 124.6550       ML
      120   0.6311   0.9335   0.7984   0.0646   0.7350   0.2034   0.4397   0.0000  44.5463 125.5800       ML
      121   0.5874   0.8813   0.7601  -0.0632   0.1239   1.2759   0.5262   0.0000  61.3712  36.8800       ML
      122   0.5046   0.8419   0.7216   0.0342   0.1421   0.4113   0.3639   0.0000  41.2574  49.1320       ML
      123   0.5929   0.9959   0.6638   0.0437   0.3399   0.1047   0.4132   0.0000  75.0703 127.5940       ML
      124   0.3104   0.3326   1.0139   0.0576   0.2290   0.6976   0.7788   0.0000  47.6546  62.4140       ML
      125   0.4162   1.0227   0.7654   0.1042   0.8324   0.0145   0.3848   0.0000  73.3381 163.2230       ML
      127   0.4988   0.8220   0.9118   0.0233   0.9976   1.6720   0.5015   0.0000  51.9868 400.4470       ML
 fast_dm_data   0.5652   1.0144   0.6625   0.0209   0.1180   0.0569   0.6298   0.0000 2055.1704 1213.8300       ML
