  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       01   0.6794   0.5493   0.9622   0.3835   0.7089  -0.0354   0.4303   0.6243   0.5234  -1.0669   0.0000  61.2877 391.4950       ML
       02   0.5767   0.7160   0.8619  -0.6237   0.7115  -0.0191   0.5680   0.3163   0.3840  -2.0764   0.0000  46.1658 396.1130       ML
       03   0.6753   0.4571   0.8627  -1.0597   0.6766  -0.0116   0.6493   0.4445   0.3670  -0.2668   0.0000  31.9597 215.5330       ML
       04   0.4920   0.8807   0.8942   0.3276   0.7663  -0.0630   0.2386   0.0000   0.3579  -1.6344   0.0000  26.3505 212.8460       ML
       05   0.6987   0.5760   1.0291  -0.6490   0.7771   0.0766   0.6010   2.4022   0.3123   2.1938   0.0000  15.8166 128.7730       ML
       06   0.4770   0.3832   1.0748   1.0670   0.8188   0.2938   0.6455   0.0730   0.6733   3.2401   0.0000  52.2411 242.1210       ML
       07   0.6505   0.3452   1.4005  -1.4244   0.6130  -0.0248   0.0260   0.0007   0.3979   3.0217   0.0000  27.8184 123.9260       ML
       08   0.2014   0.4198   0.8827   1.7502   0.8103   0.1618   0.4027   0.0007   0.4795   0.5992   0.0000  56.9473 145.0720       ML
       09   0.3683   0.5403   1.0883   0.9820   0.7369   0.0207   0.0233   0.5781   0.3230  -0.7156   0.0000  60.7007 111.3340       ML
       10   0.4278   0.4179   1.1057   0.4416   0.6757   0.0923   0.0000   0.3007   0.4685   1.1660   0.0000  67.5805 110.3900       ML
       11   0.6267   0.8432   1.0613   0.8493   0.6972  -0.1225   0.3136   0.8431   0.4951  -1.5952   0.0000  68.5868 204.4200       ML
       12   0.6929   0.5337   0.7092  -2.1242   0.8430   0.0294   0.3469   0.0017   0.4990  -0.7493   0.0000  36.8134 214.1520       ML
       13   0.5008   0.5050   1.0295  -0.6631   0.7636   0.0837   0.2830   1.0354   0.3787   1.8306   0.0000  30.3024 148.7030       ML
       14   0.5000   0.6887   1.0803   2.7271   0.7060   0.0684   0.6226   0.0634   0.1170  -0.0985   0.0000 -27.7519  73.9890       ML
       15   0.8770   0.1230   0.7726  -0.4736   0.9256   0.1105   0.2459   0.0000   0.7269   5.2109   0.0000  46.6003 205.3510       ML
       16   0.2782   0.3379   0.5546   3.1182   0.9351   0.1677   0.0235   0.6987   0.8004   4.8647   0.0000  53.1516  79.4890       ML
       18   0.6126   0.8135   1.0162   0.4270   0.6608  -0.1293   0.3730   1.0238   0.3743  -0.4706   0.0000  44.4358  80.7100       ML
       19   0.3833   0.3017   0.9484   1.0241   0.5847   0.0397   0.6034   0.6582   0.4870   2.3597   0.0000  52.3350 143.5910       ML
       20   0.3684   0.6308   0.8951   1.0456   0.8092   0.1315   0.4721   0.0000   0.4406   0.4435   0.0000  43.7342 151.9550       ML
       21   0.4774   0.7277   1.1446   0.0514   0.6651  -0.0034   0.0000   0.7996   0.3168  -0.5391   0.0000  52.5579  59.5380       ML
       22   0.6568   0.5734   0.8978  -0.7666   0.7318  -0.0072   0.6863   0.0765   0.3375  -0.5938   0.0000  37.0402 152.1480       ML
       23   0.5486   0.8474   1.0302  -0.4884   0.6777  -0.0841   0.1457   0.5902   0.4792  -0.6156   0.0000  64.5690 119.0340       ML
       24   0.4223   0.7092   0.5517  -1.6702   0.9914  -0.0085   0.5816   0.5297   0.7385  -3.2589   0.0000  45.4390 388.1880       ML
       25   0.4458   0.1548   1.0433  -0.2280   0.7590   0.2016   0.3096   0.1395   0.4756   2.1230   0.0000  63.2924  61.7730       ML
       27   0.4073   0.2961   0.7364   0.8249   0.9180   0.0636   0.5921   0.1596   0.5304   1.1562   0.0000  49.7455  88.8740       ML
