  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      101   0.8309   1.4083   0.6931   0.0673   0.6635   0.0000   0.3129   0.0000   6.5946 135.1000       ML
      102   0.9187  -0.0828   0.7104   0.0154   0.2528   0.5599   0.6681   0.0000  83.5255  95.9030       ML
      103   0.3900  -1.7751   1.0627  -0.0539   1.0000   0.1548   0.6809   0.0000  37.6327 214.1040       ML
      104   0.9686   1.2781   0.6059   0.0809   0.7670   0.8043   0.3248   0.0000  32.8261 249.5980       ML
      105   0.9083   1.0686   0.8052   0.0889   0.7194   0.2001   0.4199   0.0000  47.0469 211.1520       ML
      106   1.0251  -0.0284   0.6014   0.0028   0.5891   0.3722   0.1819   0.0000  50.5369  85.4520       ML
      107   0.8925   0.3199   0.7399   0.0528   0.0009   0.9907   0.4483   0.0000  59.5548  40.4600       ML
      109   0.9951   0.6144   0.7292   0.1246   0.2902   0.0006   0.4839   0.0000  65.2328  86.3980       ML
      110   0.9137  -1.1815   0.8026  -0.0547   0.6249   0.2156   0.4730   0.0000  49.5242 192.3130       ML
      111   0.6767   0.5190   0.8497   0.0661   1.0000   0.0074   0.5664   0.0000  55.2855 344.1030       ML
      113   0.9509   0.8523   0.6806   0.0912   0.7260   0.0020   0.3244   0.0000  43.8746 153.9880       ML
      114   1.1006   1.4971   0.6332  -0.0345   0.0008   2.9093   0.4407   0.0000  59.4708  40.7350       ML
      115   1.2578   1.9120   0.7662   0.2793   0.8464   0.3791   0.1861   0.0000  12.8439  67.4350       ML
      117   0.8034   0.9997   0.8723   0.0890   0.6404   0.0002   0.5139   0.0000  48.2628 146.2100       ML
      118   0.9215   2.4329   0.6591   0.1028   0.4832   1.7229   0.4086   0.0000   6.5702 125.9490       ML
      119   1.0258   0.9121   0.5573   0.0565   0.1715   0.0002   0.2476   0.0000  43.3505  53.1250       ML
      120   0.9295   0.1584   0.7816  -0.0220   0.0743   0.6853   0.6545   0.0000  83.5090  63.5750       ML
      121   1.0093   0.9091   0.7674   0.0618   0.4257   0.2672   0.3341   0.0000  50.5790 192.5610       ML
      122   0.7634   1.4200   0.8723  -0.0502   0.0023   1.4912   0.8255   0.0000  69.7053  68.3630       ML
      123   0.8742  -1.2813   0.7391   0.0089   0.7747   0.1247   0.5109   0.0000  49.3291 484.2340       ML
      125   0.9224   0.2682   0.7846  -0.0088   0.0006   0.6989   0.5318   0.0000  70.3835  54.9270       ML
      128   1.0513  -0.0053   0.6857  -0.0548   0.0527   1.3702   0.5468   0.0000  82.2686  92.8540       ML
      130   1.0118  -0.0066   0.6839   0.0004   1.0000   0.9960   0.3296   0.0000  53.4794 333.3760       ML
      132   1.0434   2.1876   0.4796   0.0079   0.9747   2.0786   0.2329   0.0000   0.0031 116.6790       ML
      134   0.9820   0.0315   0.5384   0.0146   0.2212   0.5448   0.1056   0.0000  28.1536  27.4800       ML
