  dataset        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.8508  -0.6965   0.8026  -0.0186   0.0018   0.7266   0.5772   0.0000 129.0874  21.8260       ML
      101   1.0031  -0.2932   0.5499   0.0478   0.0004   0.2875   0.4729   0.0000 146.5445  19.0770       ML
      104   0.8979  -0.2611   0.7019   0.0150   0.0001   0.9017   0.3920   0.0000  94.4787  11.5890       ML
      106   1.0153   0.7980   0.6074  -0.0602   0.1189   1.5488   0.4407   0.0000 108.6700  23.3040       ML
      107   0.8114   0.7112   0.8862   0.0014   0.0063   0.9169   0.6661   0.0000 120.5489  28.5110       ML
      108   1.2934  -0.1161   0.6195  -0.0096   0.3788   0.7469   0.2554   0.0000 168.3208  10.9270       ML
      109   1.1358   0.4445   0.3222  -0.0093   0.6890   0.6352   0.1267   0.0000  98.7854  32.5710       ML
      110   1.0468   0.0897   0.5525   0.0134   0.7469   0.7734   0.2271   0.0000  99.6329  43.1830       ML
      112   0.9965   0.5854   0.5316  -0.0139   0.4732   0.0121   0.1728   0.0000  59.7513  40.9040       ML
      113   1.0418   0.0311   0.4991   0.0084   0.7552   0.5627   0.4082   0.0000 143.3602 123.0190       ML
      114   0.9320  -0.4472   0.8050  -0.0255   0.9145   0.0510   0.4485   0.0000 121.1786 246.5440       ML
      115   1.1179   0.2850   0.7661  -0.0371   0.7755   3.0851   0.6891   0.0000 152.0841 128.9520       ML
      118   1.0827  -0.6154   0.6582   0.0104   0.0005   0.0000   0.2951   0.0000 102.8101  28.3750       ML
      119   0.9350   0.7072   0.8732  -0.0256   1.0000   4.5738   0.7355   0.0000 148.7693 344.8600       ML
      120   1.0014   2.8461   0.7516  -0.0431   0.0006   2.7754   0.5572   0.0000  78.8678  45.1520       ML
      121   0.8615  -0.2293   0.7933  -0.0207   0.8549   0.0000   0.5679   0.0000 101.3292  59.3040       ML
      122   0.8888   0.0082   0.6312   0.0636   0.1421   0.4257   0.6271   0.0000 153.0728  48.3980       ML
      123   0.7530  -1.1582   0.8749   0.0312   0.4268   1.9616   0.6983   0.0000 122.7148  62.4640       ML
      124   0.9774   1.3421   0.7948   0.0661   0.6829   0.0006   0.4935   0.0000  98.1587  84.1180       ML
      126   0.8816   0.1382   0.6145  -0.0588   0.0007   0.3534   0.6957   0.0000 156.5091  21.6910       ML
      127   0.8790  -0.2618   0.6492  -0.0017   0.0006   1.3690   0.4002   0.0000  92.5477  13.3460       ML
      128   0.8079   1.3499   0.8823   0.1507   0.6786   0.0000   0.6547   0.0000 108.1777  73.4860       ML
      129   1.2263  -0.0602   0.3333   0.0071   0.1183   0.2475   0.1221   0.0000 137.3319  12.5510       ML
      130   1.1417  -1.4137   0.6759  -0.0168   0.7928   0.0713   0.4150   0.0000 109.2554  97.5900       ML
      131   1.2873   0.0660   0.2924  -0.0055   0.5599   0.4554   0.2001   0.0000 177.4048  32.6010       ML
      132   0.9801  -0.5543   0.4767   0.0044   0.4352   0.4785   0.1937   0.0000  55.8845  52.2020       ML
      133   1.1570  -0.3198   0.5092  -0.0429   0.0000   0.0001   0.3944   0.0000 167.3154  25.4190       ML
      134   0.7345   0.2413   0.7737  -0.0031   0.1094   1.0280   0.6471   0.0000 127.9447  19.3560       ML
