  dataset     zr_2     zr_1        a      v_2       t0        d      szr       sv      st0      v_1  penalty      fit     time   method
       00   0.1648   0.6532   0.8703   0.5941   0.8277  -0.0016   0.3296   0.6334   0.5665  -0.7925   0.0000 112.1715 504.0380       ML
       01   0.4543   0.4927   1.1577  -0.1598   0.4950   0.0152   0.0382   0.8381   0.3243  -0.2549   0.0000 140.3600 281.2270       ML
       04   0.4279   0.3195   0.8652   0.5135   0.7335   0.0571   0.6390   0.5245   0.4013   0.3669   0.0000  85.8932 393.6850       ML
       06   0.5746   0.7261   0.9516  -0.2093   0.6297  -0.1080   0.5477   0.1777   0.4340  -0.0659   0.0000  96.7312 321.4430       ML
       07   0.6425   0.4895   0.7931   0.2590   0.8901  -0.0311   0.2429   0.8630   0.6951   0.4570   0.0000 124.5181 373.2480       ML
       08   0.3142   0.3635   0.7713   2.1113   0.8482   0.0458   0.3500   1.3697   0.7288   0.0615   0.0000 137.2150 525.3560       ML
       09   0.5049   0.6078   1.1553   0.6679   0.3317  -0.0341   0.7843   0.9566   0.1110  -0.4474   0.0000  93.2967 323.2780       ML
       10   0.6020   0.6791   0.9578  -0.2824   0.5756  -0.0696   0.6282   0.1230   0.3011  -1.0270   0.0000  92.2660 164.6330       ML
       12   0.4640   0.4684   1.0133   0.8860   0.5363  -0.0076   0.5096   0.6731   0.1845   0.6770   0.0000  59.2643 296.5060       ML
       13   0.4038   0.3358   0.9100   0.0937   0.5601   0.1041   0.6715   0.1260   0.5528   1.3483   0.0000 134.7770 271.9220       ML
       14   0.3864   0.3301   0.9823  -0.4058   0.7752   0.0323   0.6594   0.9351   0.4633   1.3039   0.0000 113.1177 292.8400       ML
       15   0.5225   0.7938   0.9744   0.2019   0.7506  -0.0921   0.4123   0.3794   0.6676  -1.4799   0.0000 145.9816 317.9000       ML
       18   0.4651   0.5749   0.8815  -1.4856   0.7869  -0.0307   0.0000   0.9571   0.5112  -0.8513   0.0000  84.0159 200.2360       ML
       19   0.7180   0.6406   0.7751  -1.6091   0.8470  -0.0639   0.5640   0.0463   0.7327  -0.0651   0.0000 144.8889 172.0230       ML
       20   0.7496   0.6324   1.1496   0.4751   0.6630  -0.1014   0.5007   1.0764   0.3731   1.2718   0.0000  74.9886 105.5870       ML
       21   0.4438   0.3061   0.7589  -0.0111   0.8223   0.0381   0.6027   0.0583   0.6220   1.3609   0.0000  97.9259  87.4300       ML
       22   0.5192   0.8393   0.9478  -0.5063   0.6463   0.0034   0.1909   0.8373   0.6218  -1.8967   0.0000 140.6925 203.9010       ML
       23   0.3888   0.4256   0.7178  -1.3465   0.8862   0.0510   0.7775   0.4464   0.6906   0.4108   0.0000 111.9065 376.9150       ML
       24   0.6002   0.5752   0.9855   1.7537   0.7729  -0.0017   0.5359   0.0001   0.4753  -0.0350   0.0000  77.4720 215.6680       ML
       26   0.5585   0.6438   0.9110  -0.0376   0.6184  -0.0866   0.3192   0.7632   0.6942  -0.6849   0.0000 155.7694  93.7880       ML
       27   0.5534   0.3630   0.8886   0.7691   0.6825   0.0070   0.7258   0.5167   0.3817  -1.0427   0.0000  65.0567 159.1590       ML
       28   0.2760   0.2092   1.0708   1.8519   0.8550   0.2276   0.4185   0.8463   0.6178   4.7952   0.0000  91.2171 147.8870       ML
       29   0.4935   0.4541   1.2272  -0.1718   0.3315   0.0241   0.1179   0.0056   0.1163   0.2731   0.0000 136.2186  31.0880       ML
       30   0.4319   0.4190   1.1114  -0.7155   0.6859   0.0267   0.8379   0.2780   0.4198  -1.7875   0.0000  98.9550 218.3130       ML
       31   0.5445   0.5643   1.2889   0.1741   0.2772  -0.0421   0.4271   0.3368   0.2006  -0.4376   0.0000 173.9471  63.8430       ML
       32   0.5720   0.4936   0.9688  -1.2266   0.4644   0.0217   0.0409   0.0003   0.2198   0.0103   0.0000  52.6179  25.3690       ML
       33   0.5169   0.2292   0.9787  -0.5131   0.6411   0.0909   0.0000   1.1916   0.6099   1.2286   0.0000 157.3310  53.3690       ML
       34   0.4040   0.2854   0.9028   0.8868   0.7226   0.0891   0.3417   0.0001   0.5887   1.2219   0.0000 127.6840  74.8120       ML
