  dataset       zr        a        v       t0        d      szr       sv      st0  penalty      fit     time   method
      100   0.4158   0.8619  -0.2746   0.8099   0.0096   0.5473   0.3672   0.5636   0.0000 128.7721 699.7710       ML
      101   0.4395   0.9995  -0.0544   0.5584   0.0412   0.0000   0.0003   0.4250   0.0000 138.6616 189.8490       ML
      104   0.3208   0.9151   0.7302   0.7246   0.0776   0.6168   0.0002   0.3968   0.0000  92.3216 653.1930       ML
      106   0.4271   1.1494   1.1378   0.5635  -0.0128   0.1381   1.2627   0.3330   0.0000 107.9351 166.2120       ML
      107   0.6064   0.7140   0.0420   0.9166  -0.0557   0.2804   0.4208   0.7135   0.0000 123.1886 438.6090       ML
      108   0.3411   0.7276   1.0115   0.8493   0.0446   0.3316   0.0183   0.7301   0.0000 144.0206 196.6610       ML
      109   0.5570   1.1214   0.2040   0.3249  -0.0365   0.7293   0.0058   0.1171   0.0000  97.6872 121.4070       ML
      110   0.5360   1.0208  -0.0956   0.5537  -0.0046   0.7108   0.3947   0.2376   0.0000  99.5046 407.2340       ML
      112   0.4591   0.9833   0.8455   0.5365  -0.0108   0.4528   0.5138   0.1856   0.0000  60.0599 335.1310       ML
      113   0.5408   1.0183  -0.1527   0.4983  -0.0096   0.6805   0.3317   0.4238   0.0000 143.2305 411.3900       ML
      114   0.5500   0.9288  -0.7332   0.8010  -0.0505   0.8999   0.5678   0.4560   0.0000 119.7534 313.5800       ML
      115   0.5028   0.9565   0.2801   0.7329   0.0071   0.0215   0.4322   0.6669   0.0000 147.2627 125.2270       ML
      118   0.5925   0.8792  -1.4532   0.7958  -0.0776   0.2298   0.6800   0.4821   0.0000  89.0004 217.0050       ML
      119   0.6859   0.7502  -0.9077   0.8519  -0.0643   0.6281   0.0355   0.7334   0.0000 145.4990 242.6260       ML
      120   0.8153   0.9314  -0.1964   0.7478  -0.1263   0.3694   0.0371   0.5284   0.0000  74.7430 156.8810       ML
      121   0.4608   0.8377   0.0541   0.7722   0.0352   0.3860   0.5031   0.5195   0.0000 101.4280  65.7040       ML
      122   0.5305   0.8930  -0.1335   0.6324   0.0542   0.1948   0.5412   0.6263   0.0000 153.0209 219.8550       ML
      123   0.2849   0.7069   0.5439   0.8902   0.0696   0.5696   0.0121   0.7118   0.0000 117.9461 282.1380       ML
      124   0.4229   0.9988   1.4495   0.7568   0.0854   0.0090   0.0000   0.4768   0.0000  98.1230  70.5840       ML
      126   0.6411   0.9222  -0.5312   0.6177  -0.1255   0.1333   0.8426   0.6737   0.0000 152.2727 210.8340       ML
      127   0.2897   0.9217   0.9802   0.6635   0.0866   0.5794   0.8504   0.4038   0.0000  87.5444 156.2600       ML
      128   0.2837   0.9141   2.4381   0.8618   0.2178   0.2128   0.0002   0.6376   0.0000 106.9976 124.0830       ML
      129   0.5038   1.2255  -0.0728   0.3344   0.0050   0.1419   0.2426   0.1237   0.0000 137.3299  41.1970       ML
      130   0.4539   1.1249  -1.2550   0.6869  -0.0096   0.9078   0.0000   0.4217   0.0000 105.6833 543.4920       ML
      131   0.5484   1.2735  -0.0993   0.2776  -0.0381   0.4160   0.2144   0.2010   0.0000 177.0186  67.4340       ML
      132   0.5593   1.0079  -0.8124   0.4665   0.0141   0.2005   1.1502   0.2228   0.0000  58.6817  37.4400       ML
      133   0.3764   0.9032   0.2981   0.6490   0.0862   0.3475   0.0002   0.6341   0.0000 162.3454  71.9330       ML
      134   0.4068   0.8239   0.7814   0.7826   0.0439   0.0538   1.5191   0.6636   0.0000 126.4272  45.4280       ML
